year,age_group,age_lo,age_hi,count,unit,source,notes
1935,30-34,30,34,215972,effettive,"ED 1936 - Mov. stato civile - Anno 1935, Prospetto 33","parti legittimi, madri di eta nota; ricostruito da tavola per singolo anno di eta (OCR); somma classi=966850 = totale stampato 966850 (scarto 0)"
1935,35-39,35,39,151482,effettive,"ED 1936 - Mov. stato civile - Anno 1935, Prospetto 33","parti legittimi, madri di eta nota; ricostruito da tavola per singolo anno di eta (OCR); somma classi=966850 = totale stampato 966850 (scarto 0)"
1935,40-44,40,44,62813,effettive,"ED 1936 - Mov. stato civile - Anno 1935, Prospetto 33","parti legittimi, madri di eta nota; ricostruito da tavola per singolo anno di eta (OCR); somma classi=966850 = totale stampato 966850 (scarto 0)"
1935,45-49,45,49,6174,effettive,"ED 1936 - Mov. stato civile - Anno 1935, Prospetto 33","parti legittimi, madri di eta nota; ricostruito da tavola per singolo anno di eta (OCR); somma classi=966850 = totale stampato 966850 (scarto 0)"
1935,50-w,50,,160,effettive,"ED 1936 - Mov. stato civile - Anno 1935, Prospetto 33","parti legittimi, madri di eta nota; ricostruito da tavola per singolo anno di eta (OCR); somma classi=966850 = totale stampato 966850 (scarto 0)"
1936,-15,,14,77,effettive,"ED 1937 - Mov. stato civile - Anno 1936, Prospetto 36","parti legittimi, madri di eta nota; ricostruito da tavola per singolo anno di eta (OCR); somma classi=935050; tot. tavola=935050; tot. con ordine-non-indicato=936074 (scarto 1024 sono parti ord. ignoto)"
1936,15-20,15,20,42523,effettive,"ED 1937 - Mov. stato civile - Anno 1936, Prospetto 36","parti legittimi, madri di eta nota; ricostruito da tavola per singolo anno di eta (OCR); somma classi=935050; tot. tavola=935050; tot. con ordine-non-indicato=936074 (scarto 1024 sono parti ord. ignoto)"
1936,21-24,21,24,176689,effettive,"ED 1937 - Mov. stato civile - Anno 1936, Prospetto 36","parti legittimi, madri di eta nota; ricostruito da tavola per singolo anno di eta (OCR); somma classi=935050; tot. tavola=935050; tot. con ordine-non-indicato=936074 (scarto 1024 sono parti ord. ignoto)"
1936,25-29,25,29,285467,effettive,"ED 1937 - Mov. stato civile - Anno 1936, Prospetto 36","parti legittimi, madri di eta nota; ricostruito da tavola per singolo anno di eta (OCR); somma classi=935050; tot. tavola=935050; tot. con ordine-non-indicato=936074 (scarto 1024 sono parti ord. ignoto)"
1936,30-34,30,34,216489,effettive,"ED 1937 - Mov. stato civile - Anno 1936, Prospetto 36","parti legittimi, madri di eta nota; ricostruito da tavola per singolo anno di eta (OCR); somma classi=935050; tot. tavola=935050; tot. con ordine-non-indicato=936074 (scarto 1024 sono parti ord. ignoto)"
1936,35-39,35,39,147502,effettive,"ED 1937 - Mov. stato civile - Anno 1936, Prospetto 36","parti legittimi, madri di eta nota; ricostruito da tavola per singolo anno di eta (OCR); somma classi=935050; tot. tavola=935050; tot. con ordine-non-indicato=936074 (scarto 1024 sono parti ord. ignoto)"
1936,40-44,40,44,60529,effettive,"ED 1937 - Mov. stato civile - Anno 1936, Prospetto 36","parti legittimi, madri di eta nota; ricostruito da tavola per singolo anno di eta (OCR); somma classi=935050; tot. tavola=935050; tot. con ordine-non-indicato=936074 (scarto 1024 sono parti ord. ignoto)"
1936,45-49,45,49,5622,effettive,"ED 1937 - Mov. stato civile - Anno 1936, Prospetto 36","parti legittimi, madri di eta nota; ricostruito da tavola per singolo anno di eta (OCR); somma classi=935050; tot. tavola=935050; tot. con ordine-non-indicato=936074 (scarto 1024 sono parti ord. ignoto)"
1936,50-w,50,,152,effettive,"ED 1937 - Mov. stato civile - Anno 1936, Prospetto 36","parti legittimi, madri di eta nota; ricostruito da tavola per singolo anno di eta (OCR); somma classi=935050; tot. tavola=935050; tot. con ordine-non-indicato=936074 (scarto 1024 sono parti ord. ignoto)"
