COD_PROV,DEN_PROV,year,births,cbr
66,Aquila degli Abruzzi,1931,9911,28.78
67,Teramo,1931,7061,31.19
68,Pescara,1931,5599,28.94
69,Chieti,1931,10699,29.08
70,Campobasso,1931,11759,31.16
71,Foggia,1931,16410,32.47
72,Bari delle Puglie,1931,31545,33.25
73,Taranto,1931,9805,32.38
74,Brindisi,1931,7562,31.23
75,Lecce,1931,16444,33.76
76,Potenza,1931,12413,35.4
77,Matera,1931,5393,35.02
78,Cosenza,1931,18191,33.35
79,Catanzaro,1931,19241,33.62
80,Reggio di Calabria,1931,17010,30.96
81,Trapani,1931,8764,23.41
82,Palermo,1931,23641,28.09
83,Messina,1931,15933,26.52
84,Girgenti,1931,13019,32.65
85,Caltanissetta,1931,8296,33.8
86,Enna,1931,6556,29.03
87,Catania,1931,19184,27.99
88,Ragusa,1931,6116,25.72
89,Siracusa,1931,7238,25.47
90,Sassari,1931,8048,27.8
91,Nuoro,1931,6089,29.38
92,Cagliari,1931,13949,29.31
6,Alessandria,1894,26855,34.32
42,Ancona,1894,10915,37.66
66,Aquila,1894,14890,39.07
51,Arezzo,1894,9717,37.37
44,AscoliPiceno,1894,8402,36.15
64,Avellino,1894,15760,39.5
72,Bari,1894,32358,41.79
25,Belluno,1894,6984,37.5
62,Benevento,1894,9701,38.8
16,Bergamo,1894,16720,38.42
37,Bologna,1894,17067,33.95
17,Brescia,1894,17599,34.19
92,Cagliari,1894,15209,32.98
85,Caltanissetta,1894,11508,37.61
70,Campobasso,1894,14984,40.94
61,Caserta,1894,28308,37.25
87,Catania,1894,23207,35.43
79,Catanzaro,1894,17723,38.42
69,Chieti,1894,13641,37.77
13,Como,1894,18271,32.79
78,Cosenza,1894,18031,39.2
19,Cremona,1894,10958,34.38
4,Cuneo,1894,20767,32.62
38,Ferrara,1894,10184,39.59
48,Firenze,1894,29999,33.83
71,Foggia,1894,16077,40.08
40,Forli,1894,10934,40.45
10,Genova,1894,27025,30.96
84,Girgenti,1894,14219,40.58
53,Grosseto,1894,4599,34.34
75,Lecce,1894,24974,38.28
49,Livorno,1894,3209,26.08
46,Lucca,1894,10010,32.6
43,Macerata,1894,9291,36.81
20,Mantova,1894,10414,34.02
45,MassaCarrara,1894,7586,40.74
83,Messina,1894,18783,36.52
15,Milano,1894,48309,36.41
36,Modena,1894,11330,37.4
63,Napoli,1894,38525,35.08
3,Novara,1894,22728,31.6
28,Padova,1894,15682,36.72
82,Palermo,1894,26378,34.97
34,Parma,1894,9993,35.11
18,Pavia,1894,16287,33.43
54,Perugia,1894,21904,34.56
41,PesaroUrbino,1894,9477,38.99
33,Piacenza,1894,7825,32.79
50,Pisa,1894,10068,32.74
8,PortoMaurizio,1894,3755,27.0
76,Potenza,1894,19480,38.79
39,Ravenna,1894,7057,30.41
80,ReggioCalabria,1894,15543,38.01
35,ReggioEmilia,1894,10404,39.4
58,Roma,1894,36309,33.2
29,Rovigo,1894,8699,39.48
65,Salerno,1894,20234,36.18
90,Sassari,1894,9780,33.56
52,Siena,1894,7260,32.41
89,Siracusa,1894,15410,38.82
67,Teramo,1894,10052,34.82
1,Torino,1894,30727,28.18
81,Trapani,1894,11220,33.17
26,Treviso,1894,15336,38.44
30,Udine,1894,19975,35.63
27,Venezia,1894,13657,35.4
23,Verona,1894,13551,32.86
24,Vicenza,1894,15586,36.28
