COD_PROV,DEN_PROV,year,births,cbr
76,Potenza,1868,20483,40.54
78,Cosenza,1868,15799,35.91
79,Catanzaro,1868,13539,33.51
80,Reggio di Calabria,1868,11565,33.34
81,Trapani,1868,8046,35.0
82,Palermo,1868,20418,37.28
83,Messina,1868,12085,29.98
84,Girgenti,1868,10331,32.85
85,Caltanissetta,1868,8186,37.53
87,Catania,1868,14353,29.79
89,Siracusa,1868,8793,31.0
90,Sassari,1868,9103,38.71
92,Cagliari,1868,12444,32.17
1,Torino,1869,32544,33.67
3,Novara,1869,22498,36.53
4,Cuneo,1869,22252,36.25
6,Alessandria,1869,24034,35.57
8,Porto Maurizio,1869,4086,32.45
10,Genova,1869,25436,36.22
13,Como,1869,16475,34.79
14,Sondrio,1869,3667,33.49
15,Milano,1869,38071,38.2
16,Bergamo,1869,13891,38.2
17,Brescia,1869,15890,34.42
18,Pavia,1869,16770,37.89
19,Cremona,1869,10661,34.53
20,Mantova,1869,10809,37.53
23,Verona,1869,12741,34.68
24,Vicenza,1869,13871,38.24
25,Belluno,1869,6666,38.04
26,Treviso,1869,14072,39.96
27,Venezia,1869,11888,35.23
28,Padova,1869,14540,39.9
29,Rovigo,1869,8373,41.73
30,Udine,1869,17106,35.55
33,Piacenza,1869,7601,33.88
34,Parma,1869,9061,34.49
35,Reggio nell'Emilia,1869,9074,38.04
36,Modena,1869,10017,36.96
37,Bologna,1869,14600,33.73
38,Ferrara,1869,8496,40.03
39,Ravenna,1869,7177,32.84
40,Forlì,1869,8787,37.71
41,Pesaro e Urbino,1869,7603,36.04
42,Ancona,1869,9851,37.74
43,Macerata,1869,8253,35.12
44,Ascoli Piceno,1869,6631,32.89
45,Massa e Carrara,1869,6259,39.73
46,Lucca,1869,9764,35.4
48,Firenze,1869,31438,41.79
49,Livorno,1869,3961,33.57
50,Pisa,1869,9749,37.3
51,Arezzo,1869,8900,38.42
52,Siena,1869,7874,38.61
53,Grosseto,1869,3917,37.1
54,Umbria,1869,19003,35.06
61,Caserta,1869,25722,37.41
62,Benevento,1869,8552,37.23
63,Napoli,1869,33407,37.16
64,Avellino,1869,13233,36.41
65,Salerno,1869,19467,36.14
