"age_class","code","province","total","male","female"
"1-4","008","Imperia",8880,4496,4384
"5-9","008","Imperia",12364,6213,6151
"10-14","008","Imperia",9184,4490,4694
"15-19","008","Imperia",12650,6330,6320
"20-24","008","Imperia",17421,10592,6829
"25-29","008","Imperia",13638,6880,6758
"30-34","008","Imperia",12404,6116,6288
"35-39","008","Imperia",11564,5548,6016
"40-44","008","Imperia",10758,5213,5545
"45-49","008","Imperia",10035,4938,5097
"50-54","008","Imperia",9308,4637,4671
"55-59","008","Imperia",8394,4175,4219
"60-64","008","Imperia",7508,3707,3801
"65-69","008","Imperia",6348,3191,3157
"70-74","008","Imperia",4512,2248,2264
"75-79","008","Imperia",2847,1390,1457
"80-84","008","Imperia",1505,721,784
"85+","008","Imperia",535,247,288
"0","009","Savona",3670,1860,1810
"1-4","009","Savona",14018,7196,6822
"5-9","009","Savona",19776,10127,9649
"10-14","009","Savona",15438,7922,7516
"15-19","009","Savona",20328,10194,10134
"20-24","009","Savona",21466,11342,10124
"25-29","009","Savona",18270,9053,9217
"30-34","009","Savona",16902,8133,8769
"35-39","009","Savona",15539,7270,8269
"40-44","009","Savona",14807,7101,7706
"45-49","009","Savona",13030,6455,6575
"50-54","009","Savona",11497,5752,5745
"55-59","009","Savona",10106,5043,5063
"60-64","009","Savona",8669,4326,4343
"65-69","009","Savona",6830,3424,3406
"70-74","009","Savona",5071,2471,2600
"75-79","009","Savona",3344,1623,1721
"80-84","009","Savona",1523,691,832
"85+","009","Savona",654,264,390
"0","010","Genova",12538,6305,6233
"1-4","010","Genova",47113,23785,23328
"5-9","010","Genova",62762,31854,30908
"10-14","010","Genova",51499,25887,25612
"15-19","010","Genova",73723,35614,38109
"20-24","010","Genova",75701,35039,40662
"25-29","010","Genova",75631,36986,38645
"30-34","010","Genova",71713,34147,37566
"35-39","010","Genova",66202,31222,34980
"40-44","010","Genova",61417,29215,32202
"45-49","010","Genova",53850,26486,27364
"50-54","010","Genova",46771,23021,23750
"55-59","010","Genova",38809,19008,19801
"60-64","010","Genova",32375,15583,16792
"65-69","010","Genova",26040,12415,13625
"70-74","010","Genova",17735,8071,9664
"75-79","010","Genova",10696,4806,5890
"80-84","010","Genova",4726,2018,2708
"85+","010","Genova",1968,752,1216
"0","011","La Spezia",4105,2033,2072
"1-4","011","La Spezia",15664,7919,7745
"5-9","011","La Spezia",21421,10785,10636
"10-14","011","La Spezia",16552,8298,8254
"15-19","011","La Spezia",21714,11609,10105
"20-24","011","La Spezia",27968,18223,9745
"25-29","011","La Spezia",17846,8895,8951
"30-34","011","La Spezia",16611,7812,8799
"35-39","011","La Spezia",15373,7277,8096
"40-44","011","La Spezia",13129,6291,6838
"45-49","011","La Spezia",10776,5091,5685
"50-54","011","La Spezia",9243,4376,4867
"55-59","011","La Spezia",8385,3994,4391
"60-64","011","La Spezia",7904,3811,4093
"65-69","011","La Spezia",6342,3236,3106
"70-74","011","La Spezia",4271,2000,2271
"75-79","011","La Spezia",2680,1291,1389
"80-84","011","La Spezia",1397,626,771
"85+","011","La Spezia",536,246,290
"0","012","Varese",6789,3483,3306
"1-4","012","Varese",25654,12976,12678
"5-9","012","Varese",33453,16828,16625
"10-14","012","Varese",24981,12532,12449
"15-19","012","Varese",38438,18467,19971
"20-24","012","Varese",38459,17526,20933
"25-29","012","Varese",35663,16716,18947
"30-34","012","Varese",30218,13904,16314
"35-39","012","Varese",25825,11476,14349
"40-44","012","Varese",24637,10875,13762
"45-49","012","Varese",22679,10254,12425
"50-54","012","Varese",20556,9629,10927
"55-59","012","Varese",16615,7949,8666
"60-64","012","Varese",13207,6160,7047
"65-69","012","Varese",10507,4782,5725
"70-74","012","Varese",7525,3327,4198
"75-79","012","Varese",4356,1811,2545
"80-84","012","Varese",2012,762,1250
"85+","012","Varese",748,280,468
"0","013","Como",10151,5152,4999
"1-4","013","Como",36506,18351,18155
"5-9","013","Como",46475,23395,23080
"10-14","013","Como",32922,16509,16413
"15-19","013","Como",49275,24132,25143
"20-24","013","Como",46042,21050,24992
"25-29","013","Como",42693,20511,22182
"30-34","013","Como",37224,17309,19915
"35-39","013","Como",32075,14396,17679
"40-44","013","Como",30672,13981,16691
"45-49","013","Como",27983,12834,15149
"50-54","013","Como",25869,12447,13422
"55-59","013","Como",21093,10060,11033
"60-64","013","Como",16910,8135,8775
"65-69","013","Como",13390,6320,7070
"70-74","013","Como",9344,4422,4922
"75-79","013","Como",5621,2595,3026
"80-84","013","Como",2251,1008,1243
"85+","013","Como",690,305,385
"0","014","Sondrio",3481,1768,1713
"1-4","014","Sondrio",12293,6163,6130
"5-9","014","Sondrio",14850,7444,7406
"10-14","014","Sondrio",10581,5345,5236
"15-19","014","Sondrio",12758,6631,6127
"20-24","014","Sondrio",11138,5404,5734
"25-29","014","Sondrio",10020,4867,5153
"30-34","014","Sondrio",8389,3810,4579
"35-39","014","Sondrio",7268,3224,4044
"40-44","014","Sondrio",7038,3109,3929
"45-49","014","Sondrio",7017,3252,3765
"50-54","014","Sondrio",7382,3519,3863
"55-59","014","Sondrio",6206,2984,3222
"60-64","014","Sondrio",5434,2578,2856
"65-69","014","Sondrio",4084,1905,2179
"70-74","014","Sondrio",2789,1306,1483
"75-79","014","Sondrio",1855,892,963
"80-84","014","Sondrio",855,392,463
"85+","014","Sondrio",288,140,148
"0","015","Milano",37299,18982,18317
"1-4","015","Milano",130657,65950,64707
"5-9","015","Milano",166799,84073,82726
"10-14","015","Milano",125519,62973,62546
"15-19","015","Milano",199869,96783,103086
"20-24","015","Milano",203380,95494,107886
"25-29","015","Milano",194434,96544,97890
"30-34","015","Milano",174872,85271,89601
"35-39","015","Milano",152485,73229,79256
"40-44","015","Milano",140241,67535,72706
"45-49","015","Milano",122049,59541,62508
"50-54","015","Milano",104707,52025,52682
"55-59","015","Milano",79560,38810,40750
"60-64","015","Milano",62537,29594,32943
"65-69","015","Milano",48203,22549,25654
"70-74","015","Milano",32269,14369,17900
"75-79","015","Milano",17753,7703,10050
"80-84","015","Milano",6997,2675,4322
"85+","015","Milano",1925,697,1228
"0","016","Bergamo",18029,9163,8866
"1-4","016","Bergamo",59614,29828,29786
"5-9","016","Bergamo",72291,36357,35934
"10-14","016","Bergamo",49041,24628,24413
"15-19","016","Bergamo",62656,30864,31792
"20-24","016","Bergamo",51595,22265,29330
"25-29","016","Bergamo",45279,20430,24849
"30-34","016","Bergamo",38608,17127,21481
"35-39","016","Bergamo",33777,14546,19231
"40-44","016","Bergamo",32127,14113,18014
"45-49","016","Bergamo",28946,13012,15934
"50-54","016","Bergamo",26218,12555,13663
"55-59","016","Bergamo",21345,10244,11101
"60-64","016","Bergamo",17194,8317,8877
"65-69","016","Bergamo",13063,6329,6734
"70-74","016","Bergamo",8433,4036,4397
"75-79","016","Bergamo",4472,2044,2428
"80-84","016","Bergamo",1623,742,881
"85+","016","Bergamo",431,189,242
"0","017","Brescia",19939,10041,9898
"1-4","017","Brescia",68180,34537,33643
"5-9","017","Brescia",83225,42156,41069
"10-14","017","Brescia",56865,28649,28216
"15-19","017","Brescia",72196,36380,35816
"20-24","017","Brescia",63594,30346,33248
"25-29","017","Brescia",56188,27509,28679
"30-34","017","Brescia",49830,23665,26165
"35-39","017","Brescia",44454,20951,23503
"40-44","017","Brescia",40186,19074,21112
"45-49","017","Brescia",35457,17059,18398
"50-54","017","Brescia",31381,15320,16061
"55-59","017","Brescia",27205,13465,13740
"60-64","017","Brescia",22547,10903,11644
"65-69","017","Brescia",18015,8731,9284
"70-74","017","Brescia",11631,5462,6169
"75-79","017","Brescia",6538,3095,3443
"80-84","017","Brescia",2461,1036,1425
"85+","017","Brescia",691,248,443
"0","018","Pavia",7871,4005,3866
"1-4","018","Pavia",29867,15011,14856
"5-9","018","Pavia",39538,20151,19387
"10-14","018","Pavia",27480,13914,13566
"15-19","018","Pavia",44844,22384,22460
"20-24","018","Pavia",44897,22088,22809
"25-29","018","Pavia",41960,21271,20689
"30-34","018","Pavia",37747,18302,19445
"35-39","018","Pavia",32767,15664,17103
"40-44","018","Pavia",30966,14763,16203
"45-49","018","Pavia",29095,14113,14982
"50-54","018","Pavia",27580,13641,13939
"55-59","018","Pavia",23352,11701,11651
"60-64","018","Pavia",20656,10225,10431
"65-69","018","Pavia",17524,8734,8790
"70-74","018","Pavia",12777,6240,6537
"75-79","018","Pavia",8260,3927,4333
"80-84","018","Pavia",3380,1505,1875
"85+","018","Pavia",1219,526,693
"0","019","Cremona",8064,3996,4068
"1-4","019","Cremona",29845,15201,14644
"5-9","019","Cremona",38999,19588,19411
"10-14","019","Cremona",24744,12528,12216
"15-19","019","Cremona",34837,17665,17172
"20-24","019","Cremona",32872,15875,16997
"25-29","019","Cremona",30295,15000,15295
"30-34","019","Cremona",27029,13220,13809
"35-39","019","Cremona",23929,11290,12639
"40-44","019","Cremona",21965,10494,11471
"45-49","019","Cremona",19996,9509,10487
"50-54","019","Cremona",17373,8479,8894
"55-59","019","Cremona",15913,7761,8152
"60-64","019","Cremona",14273,6983,7290
"65-69","019","Cremona",11371,5440,5931
"70-74","019","Cremona",7188,3456,3732
"75-79","019","Cremona",40049,1880,38169
"80-84","019","Cremona",1568,705,863
"85+","019","Cremona",524,238,286
"0","020","Mantova",8559,4351,4208
"1-4","020","Mantova",32209,16194,16015
"5-9","020","Mantova",42716,21747,20969
"10-14","020","Mantova",30245,15313,14932
"15-19","020","Mantova",40014,20570,19444
"20-24","020","Mantova",36953,19121,17832
"25-29","020","Mantova",32775,16837,15938
"30-34","020","Mantova",28993,14283,14710
"35-39","020","Mantova",25264,12082,13182
"40-44","020","Mantova",22795,11034,11761
"45-49","020","Mantova",20790,10270,10520
"50-54","020","Mantova",18377,9230,9147
"55-59","020","Mantova",16000,8098,7902
"60-64","020","Mantova",14849,7404,7445
"65-69","020","Mantova",12101,6006,6095
"70-74","020","Mantova",7708,3682,4026
"75-79","020","Mantova",4479,2107,2372
"80-84","020","Mantova",2103,926,1177
"85+","020","Mantova",717,296,421
"0","021","Bolzano - Bozen",6107,3130,2977
"1-4","021","Bolzano - Bozen",21753,10975,10778
"5-9","021","Bolzano - Bozen",27201,13757,13444
"10-14","021","Bolzano - Bozen",18610,9537,9073
"15-19","021","Bolzano - Bozen",24719,12607,12112
"20-24","021","Bolzano - Bozen",29900,17430,12470
"25-29","021","Bolzano - Bozen",24364,12637,11727
"30-34","021","Bolzano - Bozen",21046,10784,10262
"35-39","021","Bolzano - Bozen",16754,8116,8638
"40-44","021","Bolzano - Bozen",15417,7341,8076
"45-49","021","Bolzano - Bozen",13859,6640,7219
"50-54","021","Bolzano - Bozen",13057,6205,6852
"55-59","021","Bolzano - Bozen",10926,5189,5737
"60-64","021","Bolzano - Bozen",9156,4420,4736
"65-69","021","Bolzano - Bozen",6995,3355,3640
"70-74","021","Bolzano - Bozen",4864,2242,2622
"75-79","021","Bolzano - Bozen",3079,1486,1593
"80-84","021","Bolzano - Bozen",1325,608,717
"85+","021","Bolzano - Bozen",433,178,255
"0","022","Trento",8198,4148,4050
"1-4","022","Trento",31644,15990,15654
"5-9","022","Trento",44558,22476,22082
"10-14","022","Trento",26406,13296,13110
"15-19","022","Trento",35233,17918,17315
"20-24","022","Trento",36661,19215,17446
"25-29","022","Trento",30015,14332,15683
"30-34","022","Trento",26440,12110,14330
"35-39","022","Trento",23318,10470,12848
"40-44","022","Trento",22439,9918,12521
"45-49","022","Trento",20642,9052,11590
"50-54","022","Trento",20328,9303,11025
"55-59","022","Trento",17851,8335,9516
"60-64","022","Trento",15599,7363,8236
"65-69","022","Trento",12756,6174,6582
"70-74","022","Trento",9287,4522,4765
"75-79","022","Trento",5750,2811,2939
"80-84","022","Trento",2517,1159,1358
"85+","022","Trento",906,419,487
"0","023","Verona",12911,6508,6403
"1-4","023","Verona",48661,24808,23853
"5-9","023","Verona",62360,31496,30864
"10-14","023","Verona",42702,21794,20908
"15-19","023","Verona",56899,28684,28215
"20-24","023","Verona",56030,29397,26633
"25-29","023","Verona",44727,21476,23251
"30-34","023","Verona",39138,18536,20602
"35-39","023","Verona",34190,15843,18347
"40-44","023","Verona",31526,14570,16956
"45-49","023","Verona",28015,13196,14819
"50-54","023","Verona",25257,12367,12890
"55-59","023","Verona",22667,11218,11449
"60-64","023","Verona",20240,9901,10339
"65-69","023","Verona",16122,7965,8157
"70-74","023","Verona",10776,5132,5644
"75-79","023","Verona",6498,3981,2517
"80-84","023","Verona",3121,1355,1766
"85+","023","Verona",1274,537,737
"0","024","Vicenza",13592,6950,6642
"1-4","024","Vicenza",51149,26017,25132
"5-9","024","Vicenza",64375,32449,31926
"10-14","024","Vicenza",44463,22435,22028
"15-19","024","Vicenza",55383,27520,27863
"20-24","024","Vicenza",46848,20628,26220
"25-29","024","Vicenza",39112,17571,21541
"30-34","024","Vicenza",33495,14705,18790
"35-39","024","Vicenza",29643,12944,16699
"40-44","024","Vicenza",27641,12098,15543
"45-49","024","Vicenza",25829,11708,14121
"50-54","024","Vicenza",22864,10757,12107
"55-59","024","Vicenza",20723,9991,10732
"60-64","024","Vicenza",18172,8930,9242
"65-69","024","Vicenza",14677,7039,7638
"70-74","024","Vicenza",9982,4863,5119
"75-79","024","Vicenza",6177,2999,3178
"80-84","024","Vicenza",2857,1384,1473
"85+","024","Vicenza",1167,533,634
"0","025","Belluno",4588,2312,2276
"1-4","025","Belluno",19341,9824,9517
"5-9","025","Belluno",26804,13615,13189
"10-14","025","Belluno",18663,9322,9341
"15-19","025","Belluno",19546,10066,9480
"20-24","025","Belluno",18535,9241,9294
"25-29","025","Belluno",14745,6200,8545
"30-34","025","Belluno",12582,5099,7483
"35-39","025","Belluno",10894,4297,6597
"40-44","025","Belluno",10360,4094,6266
"45-49","025","Belluno",9665,3891,5774
"50-54","025","Belluno",9547,4102,5445
"55-59","025","Belluno",9046,3981,5065
"60-64","025","Belluno",8277,3773,4504
"65-69","025","Belluno",7114,3209,3905
"70-74","025","Belluno",5062,2299,2763
"75-79","025","Belluno",3289,1498,1791
"80-84","025","Belluno",1551,688,863
"85+","025","Belluno",690,273,417
"0","026","Treviso",14897,7533,7364
"1-4","026","Treviso",58714,29761,28953
"5-9","026","Treviso",76310,38507,37803
"10-14","026","Treviso",46359,23653,22706
"15-19","026","Treviso",61010,30913,30097
"20-24","026","Treviso",51181,24089,27092
"25-29","026","Treviso",42076,18928,23148
"30-34","026","Treviso",35422,15939,19483
"35-39","026","Treviso",30526,13542,16984
"40-44","026","Treviso",26676,11806,14870
"45-49","026","Treviso",23588,10668,12920
"50-54","026","Treviso",20745,9940,10805
"55-59","026","Treviso",19815,9518,10297
"60-64","026","Treviso",17731,8588,9143
"65-69","026","Treviso",14500,7005,7495
"70-74","026","Treviso",10129,4854,5275
"75-79","026","Treviso",6235,2874,3361
"80-84","026","Treviso",3258,1552,1706
"85+","026","Treviso",1535,672,863
"0","027","Venezia",15932,8190,7742
"1-4","027","Venezia",59118,30095,29023
"5-9","027","Venezia",72360,36645,35715
"10-14","027","Venezia",47889,24092,23797
"15-19","027","Venezia",62137,31350,30787
"20-24","027","Venezia",56399,28291,28108
"25-29","027","Venezia",47678,23589,24089
"30-34","027","Venezia",41659,20252,21407
"35-39","027","Venezia",36331,17442,18889
"40-44","027","Venezia",31592,15092,16500
"45-49","027","Venezia",27352,13003,14349
"50-54","027","Venezia",23259,11260,11999
"55-59","027","Venezia",20463,9799,10664
"60-64","027","Venezia",17139,7992,9147
"65-69","027","Venezia",14713,6664,8049
"70-74","027","Venezia",10038,4375,5663
"75-79","027","Venezia",6005,2486,3519
"80-84","027","Venezia",2983,1125,1858
"85+","027","Venezia",1193,411,782
"0","028","Padova",17555,8996,8559
"1-4","028","Padova",66453,33746,32707
"5-9","028","Padova",79393,40298,39095
"10-14","028","Padova",52910,26857,26053
"15-19","028","Padova",66860,33493,33367
"20-24","028","Padova",56501,26882,29619
"25-29","028","Padova",49080,23824,25256
"30-34","028","Padova",42715,20206,22509
"35-39","028","Padova",35269,16233,19036
"40-44","028","Padova",31907,14657,17250
"45-49","028","Padova",28479,13346,15133
"50-54","028","Padova",24434,11690,12744
"55-59","028","Padova",22708,11016,11692
"60-64","028","Padova",19677,9455,10222
"65-69","028","Padova",16194,7639,8555
"70-74","028","Padova",10945,5098,5847
"75-79","028","Padova",6402,2871,3531
"80-84","028","Padova",3181,1372,1809
"85+","028","Padova",1314,540,774
"0","029","Rovigo",9557,4839,4718
"1-4","029","Rovigo",34105,17307,16798
"5-9","029","Rovigo",41663,21182,20481
"10-14","029","Rovigo",26049,13141,12908
"15-19","029","Rovigo",33568,16839,16729
"20-24","029","Rovigo",26890,12209,14681
"25-29","029","Rovigo",24637,12247,12390
"30-34","029","Rovigo",21640,10463,11177
"35-39","029","Rovigo",17352,8138,9214
"40-44","029","Rovigo",15421,7338,8083
"45-49","029","Rovigo",13415,6415,7000
"50-54","029","Rovigo",11832,5871,5961
"55-59","029","Rovigo",10979,5551,5428
"60-64","029","Rovigo",9582,4728,4854
"65-69","029","Rovigo",8205,4033,4172
"70-74","029","Rovigo",5402,2613,2789
"75-79","029","Rovigo",3209,1488,1721
"80-84","029","Rovigo",1556,696,860
"85+","029","Rovigo",592,230,362
"0","030","Provincia del Friuli",15298,7791,7507
"1-4","030","Provincia del Friuli",62173,31698,30475
"5-9","030","Provincia del Friuli",88022,44557,43465
"10-14","030","Provincia del Friuli",62686,31906,30780
"15-19","030","Provincia del Friuli",73833,37043,36790
"20-24","030","Provincia del Friuli",72822,38343,34479
"25-29","030","Provincia del Friuli",51147,21139,30008
"30-34","030","Provincia del Friuli",42668,17608,25060
"35-39","030","Provincia del Friuli",38751,15591,23160
"40-44","030","Provincia del Friuli",37019,14732,22287
"45-49","030","Provincia del Friuli",34082,14120,19962
"50-54","030","Provincia del Friuli",31060,13433,17627
"55-59","030","Provincia del Friuli",28225,12757,15468
"60-64","030","Provincia del Friuli",24703,11616,13087
"65-69","030","Provincia del Friuli",21645,10393,11252
"70-74","030","Provincia del Friuli",16262,7742,8520
"75-79","030","Provincia del Friuli",10015,4678,5337
"80-84","030","Provincia del Friuli",5419,2502,2917
"85+","030","Provincia del Friuli",2300,1013,1287
"0","031","Gorizia",4328,2293,2035
"1-4","031","Gorizia",15851,8264,7587
"5-9","031","Gorizia",23872,12151,11721
"10-14","031","Gorizia",14579,7570,7009
"15-19","031","Gorizia",18238,9343,8895
"20-24","031","Gorizia",27607,18743,8864
"25-29","031","Gorizia",15775,7827,7948
"30-34","031","Gorizia",14091,6825,7266
"35-39","031","Gorizia",11867,5630,6237
"40-44","031","Gorizia",10850,4959,5891
"45-49","031","Gorizia",9769,4558,5211
"50-54","031","Gorizia",8760,4080,4680
"55-59","031","Gorizia",7914,3669,4245
"60-64","031","Gorizia",6590,3231,3359
"65-69","031","Gorizia",5989,2941,3048
"70-74","031","Gorizia",4754,2331,2423
"75-79","031","Gorizia",2617,1263,1354
"80-84","031","Gorizia",1271,626,645
"85+","031","Gorizia",510,240,270
"0","032","Trieste",5617,2830,2787
"1-4","032","Trieste",20189,10265,9924
"5-9","032","Trieste",29844,15155,14689
"10-14","032","Trieste",21487,10800,10687
"15-19","032","Trieste",30928,14986,15942
"20-24","032","Trieste",42735,24320,18415
"25-29","032","Trieste",33360,16394,16966
"30-34","032","Trieste",30172,15025,15147
"35-39","032","Trieste",24847,11970,12877
"40-44","032","Trieste",23081,11073,12008
"45-49","032","Trieste",20449,9610,10839
"50-54","032","Trieste",17630,8112,9518
"55-59","032","Trieste",14846,6879,7967
"60-64","032","Trieste",11133,4899,6234
"65-69","032","Trieste",9088,3827,5261
"70-74","032","Trieste",6860,2581,4279
"75-79","032","Trieste",3709,1387,2322
"80-84","032","Trieste",1777,626,1151
"85+","032","Trieste",653,223,430
"0","033","Piacenza",6206,3197,3009
"1-4","033","Piacenza",23068,11620,11448
"5-9","033","Piacenza",30375,15402,14973
"10-14","033","Piacenza",22014,11217,10797
"15-19","033","Piacenza",30242,15359,14883
"20-24","033","Piacenza",29618,16272,13346
"25-29","033","Piacenza",22903,11460,11443
"30-34","033","Piacenza",20345,9800,10545
"35-39","033","Piacenza",17308,8066,9242
"40-44","033","Piacenza",16171,7747,8424
"45-49","033","Piacenza",14831,7205,7626
"50-54","033","Piacenza",13334,6724,6610
"55-59","033","Piacenza",11546,5967,5579
"60-64","033","Piacenza",10547,5401,5146
"65-69","033","Piacenza",9194,4706,4488
"70-74","033","Piacenza",6445,3221,3224
"75-79","033","Piacenza",3915,1955,1960
"80-84","033","Piacenza",1729,862,867
"85+","033","Piacenza",616,296,320
"0","034","Parma",7290,3615,3675
"1-4","034","Parma",28777,14573,14204
"5-9","034","Parma",39470,19888,19582
"10-14","034","Parma",29606,15048,14558
"15-19","034","Parma",40296,20520,19776
"20-24","034","Parma",37012,19156,17856
"25-29","034","Parma",29730,14611,15119
"30-34","034","Parma",25952,12381,13571
"35-39","034","Parma",22627,10575,12052
"40-44","034","Parma",20979,9752,11227
"45-49","034","Parma",19086,9287,9799
"50-54","034","Parma",16878,8173,8705
"55-59","034","Parma",14888,7377,7511
"60-64","034","Parma",13492,6747,6745
"65-69","034","Parma",11461,5739,5722
"70-74","034","Parma",8204,3990,4214
"75-79","034","Parma",4811,2324,2487
"80-84","034","Parma",2259,1056,1203
"85+","034","Parma",798,344,454
"0","035","Reggio nell'Emilia",7679,3944,3735
"1-4","035","Reggio nell'Emilia",30960,15559,15401
"5-9","035","Reggio nell'Emilia",42432,21213,21219
"10-14","035","Reggio nell'Emilia",30556,15477,15079
"15-19","035","Reggio nell'Emilia",38602,19746,18856
"20-24","035","Reggio nell'Emilia",33198,16273,16925
"25-29","035","Reggio nell'Emilia",28596,14234,14362
"30-34","035","Reggio nell'Emilia",25738,12571,13167
"35-39","035","Reggio nell'Emilia",22255,10477,11778
"40-44","035","Reggio nell'Emilia",20425,9784,10641
"45-49","035","Reggio nell'Emilia",17791,8675,9116
"50-54","035","Reggio nell'Emilia",14701,7392,7309
"55-59","035","Reggio nell'Emilia",12983,6541,6442
"60-64","035","Reggio nell'Emilia",11912,5955,5957
"65-69","035","Reggio nell'Emilia",10238,5124,5114
"70-74","035","Reggio nell'Emilia",6940,3299,3641
"75-79","035","Reggio nell'Emilia",3623,1679,1944
"80-84","035","Reggio nell'Emilia",1636,761,875
"85+","035","Reggio nell'Emilia",578,243,335
"0","036","Modena",10305,5323,4982
"1-4","036","Modena",39822,20112,19710
"5-9","036","Modena",53717,27031,26686
"10-14","036","Modena",38137,19217,18920
"15-19","036","Modena",47503,23917,23586
"20-24","036","Modena",41590,20840,20750
"25-29","036","Modena",35141,17892,17249
"30-34","036","Modena",30723,14937,15786
"35-39","036","Modena",26803,12682,14121
"40-44","036","Modena",24741,11897,12844
"45-49","036","Modena",21686,10574,11112
