DATAFLOW,FREQ,REF_AREA,DATA_TYPE,AGE,SEX,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,NOTE_AGE,NOTE_SEX,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y29,2,1971,356967,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y29,9,1971,712273,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y3,1,1971,464133,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y3,2,1971,443420,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y3,9,1971,907553,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y30,1,1971,411741,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y30,2,1971,411711,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y30,9,1971,823452,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y31,1,1971,400972,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y31,2,1971,405996,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y31,9,1971,806968,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y32,1,1971,389030,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y32,2,1971,393277,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y32,9,1971,782307,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y33,1,1971,365558,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y33,2,1971,370068,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y33,9,1971,735626,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y34,1,1971,367914,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y34,2,1971,376268,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y34,9,1971,744182,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y35,1,1971,366772,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y35,2,1971,374734,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y35,9,1971,741506,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y36,1,1971,363041,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y36,2,1971,369766,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y36,9,1971,732807,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y37,1,1971,360869,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y37,2,1971,366734,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y37,9,1971,727603,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y38,1,1971,355422,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y38,2,1971,363154,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y38,9,1971,718576,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y39,1,1971,366213,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y39,2,1971,371910,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y39,9,1971,738123,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y4,1,1971,481995,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y4,2,1971,458910,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y4,9,1971,940905,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y40,1,1971,396867,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y40,2,1971,404323,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y40,9,1971,801190,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y41,1,1971,359308,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y41,2,1971,367897,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y41,9,1971,727205,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y42,1,1971,363524,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y42,2,1971,370321,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y42,9,1971,733845,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y43,1,1971,365833,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y43,2,1971,373938,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y43,9,1971,739771,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y44,1,1971,358619,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y44,2,1971,370707,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y44,9,1971,729326,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y45,1,1971,356094,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y45,2,1971,371405,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y45,9,1971,727499,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y46,1,1971,360378,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y46,2,1971,379211,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y46,9,1971,739589,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y47,1,1971,350425,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y47,2,1971,373503,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y47,9,1971,723928,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y48,1,1971,338708,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y48,2,1971,375035,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y48,9,1971,713743,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y49,1,1971,336563,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y49,2,1971,370342,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y49,9,1971,706905,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y5,1,1971,484684,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y5,2,1971,462089,,,,,,,,,
