"province","code","age_class","male","female","total"
"Torino","001","0",12556,12750,25306
"Torino","001","1-4",40474,40246,80720
"Torino","001","5-9",50564,50866,101430
"Torino","001","10-14",49038,49716,98754
"Torino","001","15-19",43511,46486,89997
"Torino","001","20-24",42645,43832,86477
"Torino","001","25-29",34304,40947,75251
"Torino","001","30-34",32945,36907,69852
"Torino","001","35-39",29075,31988,61063
"Torino","001","40-44",29889,31265,61154
"Torino","001","45-49",26705,26357,53062
"Torino","001","50-54",25577,24759,50336
"Torino","001","55-59",19334,17660,36994
"Torino","001","60-64",17914,16521,34435
"Torino","001","65-69",11655,9891,21546
"Torino","001","70-74",8179,7167,15346
"Torino","001","75-79",3730,3141,6871
"Torino","001","80-84",1686,1525,3211
"Torino","001","85+",641,570,1211
"Novara","003","0",9469,9430,18899
"Novara","003","1-4",28526,28404,56930
"Novara","003","5-9",36341,36038,72379
"Novara","003","10-14",32004,32798,64802
"Novara","003","15-19",26197,30092,56289
"Novara","003","20-24",25608,28613,54221
"Novara","003","25-29",21533,26069,47602
"Novara","003","30-34",20651,23220,43871
"Novara","003","35-39",18782,20991,39773
"Novara","003","40-44",18577,19674,38251
"Novara","003","45-49",16687,16599,33286
"Novara","003","50-54",14666,15519,30185
"Novara","003","55-59",10447,10619,21066
"Novara","003","60-64",9800,10091,19891
"Novara","003","65-69",6519,6295,12814
"Novara","003","70-74",4204,4116,8320
"Novara","003","75-79",1966,1924,3890
"Novara","003","80-84",915,978,1893
"Novara","003","85+",306,317,623
"Cuneo","004","0",9263,8964,18227
"Cuneo","004","1-4",27775,27157,54932
"Cuneo","004","5-9",34020,33349,67369
"Cuneo","004","10-14",32438,31525,63963
"Cuneo","004","15-19",27855,29525,57380
"Cuneo","004","20-24",25751,26614,52365
"Cuneo","004","25-29",23010,24082,47092
"Cuneo","004","30-34",21248,21767,43015
"Cuneo","004","35-39",18806,18567,37373
"Cuneo","004","40-44",19080,18699,37779
"Cuneo","004","45-49",17372,15468,32840
"Cuneo","004","50-54",16657,14687,31344
"Cuneo","004","55-59",12913,10131,23044
"Cuneo","004","60-64",11687,9510,21197
"Cuneo","004","65-69",7745,5509,13254
"Cuneo","004","70-74",5669,3967,9636
"Cuneo","004","75-79",2696,1695,4391
"Cuneo","004","80-84",1167,798,1965
"Cuneo","004","85+",400,294,694
"Alessandria","006","0",10056,9651,19707
"Alessandria","006","1-4",30973,30205,61178
"Alessandria","006","5-9",39230,38578,77808
"Alessandria","006","10-14",36567,35692,72259
"Alessandria","006","15-19",31721,33605,65326
"Alessandria","006","20-24",29148,28887,58035
"Alessandria","006","25-29",25463,26194,51657
"Alessandria","006","30-34",23122,23152,46274
"Alessandria","006","35-39",20432,20143,40575
"Alessandria","006","40-44",21024,20051,41075
"Alessandria","006","45-49",18795,16294,35089
"Alessandria","006","50-54",18141,16063,34204
"Alessandria","006","55-59",13858,10930,24788
"Alessandria","006","60-64",13007,10729,23736
"Alessandria","006","65-69",8422,5962,14384
"Alessandria","006","70-74",5842,4276,10118
"Alessandria","006","75-79",2580,1670,4250
"Alessandria","006","80-84",1238,949,2187
"Alessandria","006","85+",360,350,710
"Porto Maurizio","008","0",1681,1582,3263
"Porto Maurizio","008","1-4",4887,5115,10002
"Porto Maurizio","008","5-9",6332,6224,12556
"Porto Maurizio","008","10-14",5680,5963,11643
"Porto Maurizio","008","15-19",5013,5470,10483
"Porto Maurizio","008","20-24",5068,5690,10758
"Porto Maurizio","008","25-29",4776,4954,9730
"Porto Maurizio","008","30-34",4281,4507,8788
"Porto Maurizio","008","35-39",3834,3861,7695
"Porto Maurizio","008","40-44",3805,4069,7874
"Porto Maurizio","008","45-49",3470,3475,6945
"Porto Maurizio","008","50-54",3599,3539,7138
"Porto Maurizio","008","55-59",2698,2471,5169
"Porto Maurizio","008","60-64",2763,2741,5504
"Porto Maurizio","008","65-69",2031,1889,3920
"Porto Maurizio","008","70-74",1674,1411,3085
"Porto Maurizio","008","75-79",791,569,1360
"Porto Maurizio","008","80-84",474,333,807
"Porto Maurizio","008","85+",186,147,333
"Genova","010","0",9776,9468,19244
"Genova","010","1-4",32499,32063,64562
"Genova","010","5-9",40750,40206,80956
"Genova","010","10-14",36498,36575,73073
"Genova","010","15-19",31392,36216,67608
"Genova","010","20-24",32782,31909,64691
"Genova","010","25-29",26049,27000,53049
"Genova","010","30-34",23642,24993,48635
"Genova","010","35-39",19849,20992,40841
"Genova","010","40-44",21013,21990,43003
"Genova","010","45-49",17563,16875,34438
"Genova","010","50-54",17808,18019,35827
"Genova","010","55-59",12005,10100,22105
"Genova","010","60-64",12477,12637,25114
"Genova","010","65-69",8557,7512,16069
"Genova","010","70-74",7183,6599,13782
"Genova","010","75-79",3583,3035,6618
"Genova","010","80-84",2079,1891,3970
"Genova","010","85+",910,883,1793
"Como","013","0",7578,7357,14935
"Como","013","1-4",22170,21805,43975
"Como","013","5-9",27019,26290,53309
"Como","013","10-14",25161,25014,50175
"Como","013","15-19",22763,25161,47924
"Como","013","20-24",18864,22917,41781
"Como","013","25-29",16962,20143,37105
"Como","013","30-34",16039,17592,33631
"Como","013","35-39",13835,14922,28757
"Como","013","40-44",13680,13562,27242
"Como","013","45-49",11879,11681,23560
"Como","013","50-54",11191,10565,21756
"Como","013","55-59",9035,7996,17031
"Como","013","60-64",8450,7466,15916
"Como","013","65-69",5554,4517,10071
"Como","013","70-74",3272,2724,5996
"Como","013","75-79",1699,1166,2865
"Como","013","80-84",708,515,1223
"Como","013","85+",253,141,394
"Sondrio","014","0",1710,1701,3411
"Sondrio","014","1-4",5362,5420,10782
"Sondrio","014","5-9",6103,6094,12197
"Sondrio","014","10-14",5242,5352,10594
"Sondrio","014","15-19",4884,5149,10033
"Sondrio","014","20-24",3395,5128,8523
"Sondrio","014","25-29",3618,4658,8276
"Sondrio","014","30-34",3508,4143,7651
"Sondrio","014","35-39",3280,3701,6981
"Sondrio","014","40-44",3424,3540,6964
"Sondrio","014","45-49",3026,2995,6021
"Sondrio","014","50-54",2669,2558,5227
"Sondrio","014","55-59",2226,1937,4163
"Sondrio","014","60-64",2067,1896,3963
"Sondrio","014","65-69",1518,1193,2711
"Sondrio","014","70-74",944,740,1684
"Sondrio","014","75-79",447,313,760
"Sondrio","014","80-84",215,119,334
"Sondrio","014","85+",61,38,99
"Milano","015","0",14863,13981,28844
"Milano","015","1-4",45989,44837,90826
"Milano","015","5-9",53128,52483,105611
"Milano","015","10-14",50814,49753,100567
"Milano","015","15-19",48207,49161,97368
"Milano","015","20-24",47241,47062,94303
"Milano","015","25-29",43281,43368,86649
"Milano","015","30-34",37930,37678,75608
"Milano","015","35-39",34511,32719,67230
"Milano","015","40-44",31435,28547,59982
"Milano","015","45-49",26338,23699,50037
"Milano","015","50-54",24467,21844,46311
"Milano","015","55-59",18196,16179,34375
"Milano","015","60-64",17023,15727,32750
"Milano","015","65-69",11014,8952,19966
"Milano","015","70-74",6152,5044,11196
"Milano","015","75-79",2637,1972,4609
"Milano","015","80-84",1065,904,1969
"Milano","015","85+",516177,494198,1010375
"Bergamo","016","0",6085,5885,11970
"Bergamo","016","1-4",17257,16791,34048
"Bergamo","016","5-9",19828,19839,39667
"Bergamo","016","10-14",18549,18094,36643
"Bergamo","016","15-19",16825,17240,34065
"Bergamo","016","20-24",15022,16429,31451
"Bergamo","016","25-29",15072,15768,30840
"Bergamo","016","30-34",13709,13967,27676
"Bergamo","016","35-39",11935,11612,23547
"Bergamo","016","40-44",11800,10871,22671
"Bergamo","016","45-49",10133,8929,19062
"Bergamo","016","50-54",9021,8195,17216
"Bergamo","016","55-59",6810,5930,12740
"Bergamo","016","60-64",6497,5548,12045
"Bergamo","016","65-69",4239,3029,7268
"Bergamo","016","70-74",2327,1837,4164
"Bergamo","016","75-79",1078,709,1787
"Bergamo","016","80-84",409,286,695
"Bergamo","016","85+",126,79,205
"Brescia","017","0",6759,6415,13174
"Brescia","017","1-4",19063,18449,37512
"Brescia","017","5-9",23652,22988,46640
"Brescia","017","10-14",21584,20743,42327
"Brescia","017","15-19",20213,20481,40694
"Brescia","017","20-24",18313,19536,37849
"Brescia","017","25-29",19158,19172,38330
"Brescia","017","30-34",18102,17154,35256
"Brescia","017","35-39",15886,14997,30883
"Brescia","017","40-44",15294,13908,29202
"Brescia","017","45-49",13827,12439,26266
"Brescia","017","50-54",12051,10917,22968
"Brescia","017","55-59",8962,7921,16883
"Brescia","017","60-64",8547,7719,16266
"Brescia","017","65-69",5917,4917,10834
"Brescia","017","70-74",3385,2778,6163
"Brescia","017","75-79",1513,1147,2660
"Brescia","017","80-84",665,508,1173
"Brescia","017","85+",220,170,390
"Pavia","018","0",6482,6269,12751
"Pavia","018","1-4",20939,20922,41861
"Pavia","018","5-9",25294,25600,50894
"Pavia","018","10-14",22508,22441,44949
"Pavia","018","15-19",20644,22588,43232
"Pavia","018","20-24",19688,18960,38648
"Pavia","018","25-29",17408,17801,35209
"Pavia","018","30-34",15702,16085,31787
"Pavia","018","35-39",14311,14068,28379
"Pavia","018","40-44",13945,13665,27610
"Pavia","018","45-49",12164,10891,23055
"Pavia","018","50-54",11280,10271,21551
"Pavia","018","55-59",8090,6715,14805
"Pavia","018","60-64",8075,6998,15073
"Pavia","018","65-69",4986,3665,8651
"Pavia","018","70-74",3404,2465,5869
"Pavia","018","75-79",1453,887,2340
"Pavia","018","80-84",720,558,1278
"Pavia","018","85+",212,177,389
"Cremona","019","0",4496,4261,8757
"Cremona","019","1-4",13461,13203,26664
"Cremona","019","5-9",16096,15633,31729
"Cremona","019","10-14",13866,13401,27267
"Cremona","019","15-19",12845,13383,26228
"Cremona","019","20-24",12355,12356,24711
"Cremona","019","25-29",12251,12468,24719
"Cremona","019","30-34",11972,11672,23644
"Cremona","019","35-39",10902,10436,21338
"Cremona","019","40-44",10012,9231,19243
"Cremona","019","45-49",8784,8000,16784
"Cremona","019","50-54",7449,6944,14393
"Cremona","019","55-59",5600,5182,10782
"Cremona","019","60-64",5766,5306,11072
"Cremona","019","65-69",3931,3355,7286
"Cremona","019","70-74",2008,1608,3616
"Cremona","019","75-79",843,603,1446
"Cremona","019","80-84",402,313,715
"Cremona","019","85+",98,101,199
"Mantova","020","0",4311,4127,8438
"Mantova","020","1-4",13488,12982,26470
"Mantova","020","5-9",15987,15401,31388
"Mantova","020","10-14",13396,12202,25598
"Mantova","020","15-19",11410,11814,23224
"Mantova","020","20-24",11782,11879,23661
"Mantova","020","25-29",11906,10950,22856
"Mantova","020","30-34",11216,10540,21756
"Mantova","020","35-39",10011,9416,19427
"Mantova","020","40-44",9311,8426,17737
"Mantova","020","45-49",8989,7945,16934
"Mantova","020","50-54",6980,6449,13429
"Mantova","020","55-59",5909,5200,11109
"Mantova","020","60-64",5460,5129,10589
"Mantova","020","65-69",4248,3874,8122
"Mantova","020","70-74",2045,1919,3964
"Mantova","020","75-79",981,932,1913
"Mantova","020","80-84",469,507,976
"Mantova","020","85+",190,214,404
"Verona","023","0",5128,4951,10079
"Verona","023","1-4",16909,16212,33121
"Verona","023","5-9",19747,19425,39172
"Verona","023","10-14",17073,16447,33520
"Verona","023","15-19",15475,15734,31209
"Verona","023","20-24",18176,15278,33454
"Verona","023","25-29",16065,15079,31144
"Verona","023","30-34",14310,13460,27770
"Verona","023","35-39",11971,11039,23010
"Verona","023","40-44",10845,10362,21207
"Verona","023","45-49",10789,9878,20667
"Verona","023","50-54",9156,8584,17740
"Verona","023","55-59",7017,6424,13441
"Verona","023","60-64",6813,6588,13401
"Verona","023","65-69",4656,4440,9096
"Verona","023","70-74",2778,2623,5401
"Verona","023","75-79",1270,1128,2398
"Verona","023","80-84",584,548,1132
"Verona","023","85+",183,217,400
"Vicenza","024","0",5261,5178,10439
"Vicenza","024","1-4",18065,17378,35443
"Vicenza","024","5-9",20364,19362,39726
"Vicenza","024","10-14",17830,17252,35082
"Vicenza","024","15-19",14992,15844,30836
"Vicenza","024","20-24",14447,15232,29679
"Vicenza","024","25-29",14679,14399,29078
"Vicenza","024","30-34",13540,13070,26610
"Vicenza","024","35-39",10983,10675,21658
"Vicenza","024","40-44",10313,9952,20265
"Vicenza","024","45-49",10540,9919,20459
"Vicenza","024","50-54",9036,7984,17020
"Vicenza","024","55-59",6581,6088,12669
"Vicenza","024","60-64",7125,6516,13641
"Vicenza","024","65-69",5140,4439,9579
"Vicenza","024","70-74",3226,2713,5939
"Vicenza","024","75-79",1563,1327,2890
"Vicenza","024","80-84",701,579,1280
"Vicenza","024","85+",266,211,477
"Belluno","025","0",2902,2826,5728
"Belluno","025","1-4",9165,8819,17984
"Belluno","025","5-9",10384,10233,20617
"Belluno","025","10-14",9212,8962,18174
"Belluno","025","15-19",7461,8220,15681
"Belluno","025","20-24",6177,7428,13605
"Belluno","025","25-29",6163,7247,13410
"Belluno","025","30-34",5427,6332,11759
"Belluno","025","35-39",4880,5338,10218
"Belluno","025","40-44",4423,4978,9401
"Belluno","025","45-49",4382,5040,9422
"Belluno","025","50-54",3791,4187,7978
"Belluno","025","55-59",2730,2764,5494
"Belluno","025","60-64",2831,3147,5978
"Belluno","025","65-69",2315,2162,4477
"Belluno","025","70-74",1433,1373,2806
"Belluno","025","75-79",858,695,1553
"Belluno","025","80-84",378,320,698
"Belluno","025","85+",144,114,258
"Treviso","026","0",5787,5410,11197
"Treviso","026","1-4",18471,17477,35948
"Treviso","026","5-9",21456,19959,41415
"Treviso","026","10-14",18251,16872,35123
"Treviso","026","15-19",15212,14925,30137
"Treviso","026","20-24",13963,13822,27785
"Treviso","026","25-29",13843,13372,27215
"Treviso","026","30-34",12703,12174,24877
"Treviso","026","35-39",10763,10178,20941
"Treviso","026","40-44",10035,9331,19366
"Treviso","026","45-49",9973,9122,19095
"Treviso","026","50-54",8002,7346,15348
"Treviso","026","55-59",5984,5397,11381
"Treviso","026","60-64",6575,6192,12767
"Treviso","026","65-69",4912,4457,9369
"Treviso","026","70-74",2853,2779,5632
"Treviso","026","75-79",1264,1187,2451
"Treviso","026","80-84",649,991,1640
"Treviso","026","85+",209,272,481
"Venezia","027","0",4637,4340,8977
"Venezia","027","1-4",14055,13550,27605
"Venezia","027","5-9",17771,17153,34924
"Venezia","027","10-14",16116,15759,31875
"Venezia","027","15-19",14585,14855,29440
"Venezia","027","20-24",14576,14217,28793
"Venezia","027","25-29",13708,13980,27688
"Venezia","027","30-34",12617,12665,25282
"Venezia","027","35-39",11219,11459,22678
"Venezia","027","40-44",10304,10105,20409
"Venezia","027","45-49",9822,9316,19138
"Venezia","027","50-54",8517,8149,16666
"Venezia","027","55-59",6047,6005,12052
"Venezia","027","60-64",6279,6616,12895
"Venezia","027","65-69",4030,4324,8354
"Venezia","027","70-74",2566,3209,5775
"Venezia","027","75-79",1353,1573,2926
"Venezia","027","80-84",603,835,1438
"Venezia","027","85+",210,312,522
"Padova","028","0",5488,5409,10897
"Padova","028","1-4",17361,16626,33987
"Padova","028","5-9",20188,19376,39564
"Padova","028","10-14",17550,16861,34411
"Padova","028","15-19",15059,15157,30216
"Padova","028","20-24",15513,15226,30739
"Padova","028","25-29",15065,14777,29842
"Padova","028","30-34",13870,13234,27104
"Padova","028","35-39",11235,10832,22067
"Padova","028","40-44",9965,9558,19523
"Padova","028","45-49",10734,10167,20901
"Padova","028","50-54",8475,8015,16490
"Padova","028","55-59",6856,6619,13475
"Padova","028","60-64",6659,6963,13622
"Padova","028","65-69",5245,5209,10454
"Padova","028","70-74",3054,3153,6207
"Padova","028","75-79",1556,1562,3118
"Padova","028","80-84",685,681,1366
"Padova","028","85+",221,217,438
"Rovigo","029","0",3175,2847,6022
"Rovigo","029","1-4",9526,9107,18633
"Rovigo","029","5-9",11683,11136,22819
"Rovigo","029","10-14",9369,9013,18382
"Rovigo","029","15-19",8189,8405,16594
"Rovigo","029","20-24",8108,8630,16738
"Rovigo","029","25-29",8414,8365,16779
"Rovigo","029","30-34",7433,7123,14556
"Rovigo","029","35-39",6917,6392,13309
"Rovigo","029","40-44",5826,5653,11479
"Rovigo","029","45-49",5567,5042,10609
"Rovigo","029","50-54",4615,4398,9013
"Rovigo","029","55-59",3870,3791,7661
"Rovigo","029","60-64",3746,3775,7521
"Rovigo","029","65-69",2534,2774,5308
"Rovigo","029","70-74",1465,1442,2907
"Rovigo","029","75-79",631,773,1404
"Rovigo","029","80-84",315,360,675
"Rovigo","029","85+",100,146,246
"Udine","030","0",6887,6653,13540
"Udine","030","1-4",22839,21834,44673
"Udine","030","5-9",27411,25751,53162
"Udine","030","10-14",24587,23494,48081
"Udine","030","15-19",20062,20881,40943
"Udine","030","20-24",18114,20166,38280
"Udine","030","25-29",17432,18390,35822
"Udine","030","30-34",16263,17187,33450
"Udine","030","35-39",14024,15104,29128
"Udine","030","40-44",13937,14938,28875
"Udine","030","45-49",13267,13752,27019
"Udine","030","50-54",10993,11465,22458
"Udine","030","55-59",8048,8272,16320
"Udine","030","60-64",9227,9194,18421
"Udine","030","65-69",6825,7057,13882
"Udine","030","70-74",4414,4327,8741
"Udine","030","75-79",2620,2503,5123
"Udine","030","80-84",1140,1155,2295
"Udine","030","85+",480,500,980
"Piacenza","033","0",3161,2941,6102
"Piacenza","033","1-4",10130,9690,19820
"Piacenza","033","5-9",12010,11733,23743
"Piacenza","033","10-14",11110,10716,21826
"Piacenza","033","15-19",9837,10450,20287
"Piacenza","033","20-24",10690,9162,19852
"Piacenza","033","25-29",8913,8518,17431
"Piacenza","033","30-34",8286,7771,16057
"Piacenza","033","35-39",7751,7479,15230
"Piacenza","033","40-44",7818,6962,14780
"Piacenza","033","45-49",6236,5550,11786
"Piacenza","033","50-54",6259,5200,11459
"Piacenza","033","55-59",4281,3668,7949
"Piacenza","033","60-64",4391,3824,8215
"Piacenza","033","65-69",2858,2335,5193
"Piacenza","033","70-74",2027,1507,3534
"Piacenza","033","75-79",821,668,1489
"Piacenza","033","80-84",398,347,745
"Piacenza","033","85+",146,131,277
"Parma","034","0",3472,3328,6800
"Parma","034","1-4",11268,10944,22212
"Parma","034","5-9",14328,13520,27848
"Parma","034","10-14",13476,12748,26224
"Parma","034","15-19",11109,11960,23069
"Parma","034","20-24",11783,11202,22985
"Parma","034","25-29",10009,9900,19909
"Parma","034","30-34",9002,8966,17968
"Parma","034","35-39",8547,8465,17012
"Parma","034","40-44",9107,8465,17572
"Parma","034","45-49",7800,7196,14996
"Parma","034","50-54",7480,6467,13947
"Parma","034","55-59",4867,4370,9237
"Parma","034","60-64",5238,4552,9790
"Parma","034","65-69",3578,2952,6530
"Parma","034","70-74",2526,1932,4458
"Parma","034","75-79",1235,1025,2260
"Parma","034","80-84",599,525,1124
"Parma","034","85+",210,217,427
"Reggio nell'Emilia","035","0",3374,3395,6769
"Reggio nell'Emilia","035","1-4",11098,10952,22050
"Reggio nell'Emilia","035","5-9",14124,13682,27806
"Reggio nell'Emilia","035","10-14",12462,12055,24517
"Reggio nell'Emilia","035","15-19",9800,10730,20530
"Reggio nell'Emilia","035","20-24",9662,10198,19860
"Reggio nell'Emilia","035","25-29",8714,8967,17681
"Reggio nell'Emilia","035","30-34",8257,8331,16588
"Reggio nell'Emilia","035","35-39",8008,7734,15742
"Reggio nell'Emilia","035","40-44",7427,7131,14558
"Reggio nell'Emilia","035","45-49",6900,6441,13341
"Reggio nell'Emilia","035","50-54",6059,5398,11457
"Reggio nell'Emilia","035","55-59",4319,3972,8291
"Reggio nell'Emilia","035","60-64",4460,4002,8462
"Reggio nell'Emilia","035","65-69",3342,2746,6088
"Reggio nell'Emilia","035","70-74",2041,1565,3606
"Reggio nell'Emilia","035","75-79",1095,868,1963
"Reggio nell'Emilia","035","80-84",508,427,935
