compartimento,year,births,deaths_u5,u5mr,source
ABRUZZI E MOLISE,1909,49665,13867,279.21,Raftakis manual
BASILICATA,1909,17038,4535,266.17,Raftakis manual
CALABRIE,1909,51801,12198,235.48,Raftakis manual
CAMPANIA,1909,109186,30104,275.71,Raftakis manual
EMILIA,1909,86981,21669,249.12,Raftakis manual
LAZIO,1909,39755,9974,250.89,Raftakis manual
LIGURIA,1909,29843,6920,231.88,Raftakis manual
LOMBARDIA,1909,157882,43087,272.91,Raftakis manual
MARCHE,1909,35344,8843,250.2,Raftakis manual
PIEMONTE,1909,88250,16765,189.97,Raftakis manual
PUGLIE,1909,76580,24425,318.95,Raftakis manual
SARDEGNA,1909,26905,7357,273.44,Raftakis manual
SICILIA,1909,119715,37178,310.55,Raftakis manual
TOSCANA,1909,77967,18058,231.61,Raftakis manual
UMBRIA,1909,21333,5358,251.16,Raftakis manual
VENETO,1909,127586,29135,228.36,Raftakis manual
ABRUZZI E MOLISE,1910,50148,12167,242.62,Raftakis manual
BASILICATA,1910,17634,5055,286.66,Raftakis manual
CALABRIE,1910,50900,11308,222.16,Raftakis manual
CAMPANIA,1910,112323,26636,237.14,Raftakis manual
EMILIA,1910,92804,18530,199.67,Raftakis manual
LAZIO,1910,40438,10072,249.07,Raftakis manual
LIGURIA,1910,30699,5549,180.76,Raftakis manual
LOMBARDIA,1910,160517,39253,244.54,Raftakis manual
MARCHE,1910,38923,8224,211.29,Raftakis manual
PIEMONTE,1910,84602,17840,210.87,Raftakis manual
PUGLIE,1910,81657,26249,321.45,Raftakis manual
SARDEGNA,1910,28240,6109,216.32,Raftakis manual
SICILIA,1910,120829,36107,298.83,Raftakis manual
TOSCANA,1910,81936,14393,175.66,Raftakis manual
UMBRIA,1910,23273,4835,207.75,Raftakis manual
VENETO,1910,130207,25477,195.67,Raftakis manual
ABRUZZI E MOLISE,1911,42915,11570,269.6,Raftakis manual
BASILICATA,1911,16884,5277,312.54,Raftakis manual
CALABRIE,1911,47169,12441,263.75,Raftakis manual
CAMPANIA,1911,102162,31349,306.86,Raftakis manual
EMILIA,1911,91379,19911,217.89,Raftakis manual
LAZIO,1911,38867,9055,232.97,Raftakis manual
