provincia,COD_PROV,year,sex,age_group,age_lo,ax,mx,qx,lx,dx,Lx,Tx,ex
Ascoli Piceno,44,1881,T,25_29,25,2.5,0.00743,0.036471,55946.3,2040.4,274630.3,2244364.4,40.12
Ascoli Piceno,44,1881,T,30_34,30,2.5,0.007757,0.038049,53905.8,2051.1,264401.5,1969734.2,36.54
Ascoli Piceno,44,1881,T,35_39,35,2.5,0.009431,0.046067,51854.8,2388.8,253301.9,1705332.6,32.89
Ascoli Piceno,44,1881,T,40_44,40,2.5,0.008974,0.043883,49466.0,2170.7,241903.1,1452030.7,29.35
Ascoli Piceno,44,1881,T,45_49,45,2.5,0.009453,0.046175,47295.3,2183.8,231016.7,1210127.6,25.59
Ascoli Piceno,44,1881,T,50_54,50,2.5,0.012494,0.06058,45111.4,2732.8,218725.0,979110.9,21.7
Ascoli Piceno,44,1881,T,55_59,55,2.5,0.018571,0.088734,42378.6,3760.4,202491.8,760385.9,17.94
Ascoli Piceno,44,1881,T,60_64,60,2.5,0.024383,0.11491,38618.1,4437.6,181996.7,557894.2,14.45
Ascoli Piceno,44,1881,T,65_69,65,2.5,0.046566,0.208552,34180.5,7128.4,153081.6,375897.5,11.0
Ascoli Piceno,44,1881,T,70_74,70,2.5,0.080939,0.336586,27052.1,9105.4,112497.1,222815.9,8.24
Ascoli Piceno,44,1881,T,75_79,75,2.5,0.130036,0.490668,17946.8,8805.9,67719.0,110318.7,6.15
Ascoli Piceno,44,1881,T,80_84,80,2.5,0.188404,0.64039,9140.9,5853.7,31070.0,42599.7,4.66
Ascoli Piceno,44,1881,T,85plus,85,3.5075,0.285103,1.0,3287.1,3287.1,11529.7,11529.7,3.51
Ascoli Piceno,44,1881,M,0,0,0.2992,0.229426,0.197646,100000.0,19764.6,86148.0,3817785.9,38.18
Ascoli Piceno,44,1881,M,1_4,1,1.5,0.057407,0.200808,80235.4,16111.9,280661.8,3731637.9,46.51
Ascoli Piceno,44,1881,M,5_9,5,2.5,0.009659,0.047157,64123.5,3023.8,313057.8,3450976.1,53.82
Ascoli Piceno,44,1881,M,10_14,10,2.5,0.004568,0.022584,61099.6,1379.9,302048.5,3137918.3,51.36
Ascoli Piceno,44,1881,M,15_19,15,2.5,0.006167,0.030365,59719.8,1813.4,294065.3,2835869.8,47.49
Ascoli Piceno,44,1881,M,20_24,20,2.5,0.007935,0.038903,57906.4,2252.7,283900.0,2541804.4,43.9
Ascoli Piceno,44,1881,M,25_29,25,2.5,0.007975,0.039097,55653.6,2175.9,272828.5,2257904.4,40.57
Ascoli Piceno,44,1881,M,30_34,30,2.5,0.007028,0.034534,53477.7,1846.8,262771.8,1985075.9,37.12
Ascoli Piceno,44,1881,M,35_39,35,2.5,0.006701,0.032954,51631.0,1701.4,253901.2,1722304.2,33.36
Ascoli Piceno,44,1881,M,40_44,40,2.5,0.010074,0.049132,49929.5,2453.2,243514.7,1468403.0,29.41
Ascoli Piceno,44,1881,M,45_49,45,2.5,0.010422,0.050788,47476.4,2411.2,231353.6,1224888.3,25.8
Ascoli Piceno,44,1881,M,50_54,50,2.5,0.012873,0.062356,45065.1,2810.1,218300.3,993534.7,22.05
Ascoli Piceno,44,1881,M,55_59,55,2.5,0.018493,0.088381,42255.0,3734.5,201938.7,775234.4,18.35
Ascoli Piceno,44,1881,M,60_64,60,2.5,0.022899,0.108296,38520.5,4171.6,182173.4,573295.7,14.88
Ascoli Piceno,44,1881,M,65_69,65,2.5,0.04049,0.183841,34348.9,6314.7,155957.5,391122.3,11.39
Ascoli Piceno,44,1881,M,70_74,70,2.5,0.079753,0.332477,28034.1,9320.7,116868.9,235164.8,8.39
Ascoli Piceno,44,1881,M,75_79,75,2.5,0.118791,0.457952,18713.4,8569.9,72142.5,118295.9,6.32
Ascoli Piceno,44,1881,M,80_84,80,2.5,0.196656,0.659195,10143.6,6686.6,34001.4,46153.4,4.55
Ascoli Piceno,44,1881,M,85plus,85,3.5152,0.284479,1.0,3457.0,3457.0,12152.0,12152.0,3.52
Ascoli Piceno,44,1881,F,0,0,0.3141,0.211144,0.184434,100000.0,18443.4,87349.9,3852544.0,38.53
Ascoli Piceno,44,1881,F,1_4,1,1.5,0.058983,0.205612,81556.6,16769.0,284304.0,3765194.2,46.17
Ascoli Piceno,44,1881,F,5_9,5,2.5,0.008358,0.040936,64787.6,2652.2,317307.7,3480890.2,53.73
Ascoli Piceno,44,1881,F,10_14,10,2.5,0.005986,0.029488,62135.5,1832.2,306096.7,3163582.5,50.91
Ascoli Piceno,44,1881,F,15_19,15,2.5,0.005976,0.029442,60303.2,1775.4,297077.6,2857485.8,47.39
Ascoli Piceno,44,1881,F,20_24,20,2.5,0.007575,0.037169,58527.8,2175.4,287200.5,2560408.2,43.75
Ascoli Piceno,44,1881,F,25_29,25,2.5,0.006947,0.034141,56352.4,1923.9,276952.1,2273207.7,40.34
Ascoli Piceno,44,1881,F,30_34,30,2.5,0.008403,0.041149,54428.5,2239.7,266543.1,1996255.6,36.68
Ascoli Piceno,44,1881,F,35_39,35,2.5,0.009007,0.044042,52188.8,2298.5,255197.7,1729712.5,33.14
Ascoli Piceno,44,1881,F,40_44,40,2.5,0.008032,0.03937,49890.3,1964.2,244540.9,1474514.9,29.56
Ascoli Piceno,44,1881,F,45_49,45,2.5,0.008558,0.041893,47926.1,2007.8,234611.0,1229973.9,25.66
Ascoli Piceno,44,1881,F,50_54,50,2.5,0.012152,0.058968,45918.3,2707.7,222822.3,995363.0,21.68
Ascoli Piceno,44,1881,F,55_59,55,2.5,0.018922,0.090335,43210.6,3903.4,206294.5,772540.7,17.88
Ascoli Piceno,44,1881,F,60_64,60,2.5,0.025758,0.120999,39307.2,4756.1,184645.6,566246.2,14.41
Ascoli Piceno,44,1881,F,65_69,65,2.5,0.042689,0.19286,34551.1,6663.5,156096.5,381600.6,11.04
Ascoli Piceno,44,1881,F,70_74,70,2.5,0.082092,0.340567,27887.5,9497.6,115693.8,225504.2,8.09
Ascoli Piceno,44,1881,F,75_79,75,2.5,0.141574,0.522824,18390.0,9614.7,67913.1,109810.4,5.97
Ascoli Piceno,44,1881,F,80_84,80,2.5,0.179112,0.618574,8775.3,5428.1,30305.9,41897.3,4.77
Ascoli Piceno,44,1881,F,85plus,85,3.4631,0.288758,1.0,3347.1,3347.1,11591.4,11591.4,3.46
Avellino,64,1881,T,0,0,0.306,0.313625,0.257562,100000.0,25756.2,82124.0,2946944.6,29.47
Avellino,64,1881,T,1_4,1,1.5,0.093898,0.304187,74243.8,22584.0,240515.3,2864820.6,38.59
