COD_PROV,year,u5mr
72,1903,419.94
73,1903,419.94
74,1903,419.94
75,1903,419.94
76,1903,353.14
77,1903,353.14
78,1903,306.79
79,1903,306.79
80,1903,306.79
81,1903,344.93
82,1903,344.93
83,1903,344.93
84,1903,344.93
85,1903,344.93
86,1903,344.93
87,1903,344.93
88,1903,344.93
89,1903,344.93
90,1903,235.05
91,1903,235.05
92,1903,235.05
1,1904,206.24
2,1904,206.24
3,1904,206.24
4,1904,206.24
5,1904,206.24
6,1904,206.24
7,1904,206.24
8,1904,207.97
9,1904,207.97
10,1904,207.97
11,1904,207.97
12,1904,258.62
13,1904,258.62
14,1904,258.62
15,1904,258.62
16,1904,258.62
17,1904,258.62
18,1904,258.62
19,1904,258.62
20,1904,258.62
23,1904,204.57
24,1904,204.57
25,1904,204.57
26,1904,204.57
27,1904,204.57
28,1904,204.57
29,1904,204.57
30,1904,204.57
33,1904,222.45
34,1904,222.45
35,1904,222.45
36,1904,222.45
37,1904,222.45
38,1904,222.45
39,1904,222.45
40,1904,222.45
41,1904,256.65
42,1904,256.65
43,1904,256.65
44,1904,256.65
45,1904,218.77
46,1904,218.77
47,1904,218.77
48,1904,218.77
49,1904,218.77
50,1904,218.77
51,1904,218.77
52,1904,218.77
53,1904,218.77
54,1904,260.46
55,1904,260.46
56,1904,271.63
57,1904,271.63
58,1904,271.63
59,1904,271.63
60,1904,271.63
61,1904,265.02
62,1904,265.02
63,1904,265.02
64,1904,265.02
65,1904,265.02
66,1904,291.32
67,1904,291.32
68,1904,291.32
69,1904,291.32
70,1904,291.32
71,1904,391.5
72,1904,391.5
73,1904,391.5
74,1904,391.5
75,1904,391.5
76,1904,355.08
77,1904,355.08
78,1904,271.88
79,1904,271.88
80,1904,271.88
81,1904,334.9
82,1904,334.9
83,1904,334.9
84,1904,334.9
85,1904,334.9
86,1904,334.9
87,1904,334.9
88,1904,334.9
89,1904,334.9
90,1904,268.57
91,1904,268.57
92,1904,268.57
1,1905,226.29
2,1905,226.29
3,1905,226.29
4,1905,226.29
5,1905,226.29
6,1905,226.29
7,1905,226.29
8,1905,243.66
9,1905,243.66
10,1905,243.66
11,1905,243.66
12,1905,280.24
13,1905,280.24
14,1905,280.24
15,1905,280.24
16,1905,280.24
17,1905,280.24
18,1905,280.24
19,1905,280.24
20,1905,280.24
23,1905,246.74
24,1905,246.74
25,1905,246.74
26,1905,246.74
27,1905,246.74
28,1905,246.74
29,1905,246.74
30,1905,246.74
33,1905,256.14
34,1905,256.14
35,1905,256.14
36,1905,256.14
37,1905,256.14
38,1905,256.14
39,1905,256.14
40,1905,256.14
41,1905,276.36
42,1905,276.36
43,1905,276.36
44,1905,276.36
45,1905,239.04
46,1905,239.04
47,1905,239.04
48,1905,239.04
49,1905,239.04
50,1905,239.04
51,1905,239.04
52,1905,239.04
53,1905,239.04
54,1905,264.08
55,1905,264.08
56,1905,257.74
57,1905,257.74
58,1905,257.74
59,1905,257.74
60,1905,257.74
61,1905,261.83
62,1905,261.83
63,1905,261.83
64,1905,261.83
65,1905,261.83
66,1905,270.36
67,1905,270.36
68,1905,270.36
69,1905,270.36
70,1905,270.36
71,1905,348.17
72,1905,348.17
73,1905,348.17
74,1905,348.17
75,1905,348.17
76,1905,318.33
77,1905,318.33
78,1905,245.2
79,1905,245.2
80,1905,245.2
81,1905,319.94
82,1905,319.94
83,1905,319.94
84,1905,319.94
85,1905,319.94
86,1905,319.94
87,1905,319.94
88,1905,319.94
89,1905,319.94
90,1905,318.17
91,1905,318.17
92,1905,318.17
1,1906,232.62
2,1906,232.62
3,1906,232.62
4,1906,232.62
5,1906,232.62
6,1906,232.62
7,1906,232.62
8,1906,206.2
9,1906,206.2
10,1906,206.2
11,1906,206.2
12,1906,304.01
13,1906,304.01
14,1906,304.01
15,1906,304.01
16,1906,304.01
17,1906,304.01
18,1906,304.01
19,1906,304.01
20,1906,304.01
23,1906,204.06
24,1906,204.06
25,1906,204.06
26,1906,204.06
27,1906,204.06
28,1906,204.06
29,1906,204.06
30,1906,204.06
33,1906,251.25
34,1906,251.25
35,1906,251.25
36,1906,251.25
37,1906,251.25
38,1906,251.25
39,1906,251.25
40,1906,251.25
41,1906,262.83
42,1906,262.83
43,1906,262.83
44,1906,262.83
45,1906,236.7
46,1906,236.7
47,1906,236.7
48,1906,236.7
49,1906,236.7
50,1906,236.7
51,1906,236.7
52,1906,236.7
53,1906,236.7
54,1906,250.23
55,1906,250.23
56,1906,255.76
57,1906,255.76
58,1906,255.76
59,1906,255.76
60,1906,255.76
61,1906,274.57
62,1906,274.57
63,1906,274.57
64,1906,274.57
65,1906,274.57
66,1906,253.23
67,1906,253.23
68,1906,253.23
69,1906,253.23
70,1906,253.23
71,1906,298.88
72,1906,298.88
73,1906,298.88
74,1906,298.88
75,1906,298.88
76,1906,278.53
77,1906,278.53
78,1906,277.06
79,1906,277.06
80,1906,277.06
81,1906,357.37
82,1906,357.37
83,1906,357.37
84,1906,357.37
85,1906,357.37
86,1906,357.37
87,1906,357.37
88,1906,357.37
89,1906,357.37
90,1906,224.79
91,1906,224.79
92,1906,224.79
1,1907,208.8
2,1907,208.8
3,1907,208.8
4,1907,208.8
5,1907,208.8
6,1907,208.8
7,1907,208.8
8,1907,222.31
9,1907,222.31
10,1907,222.31
11,1907,222.31
12,1907,258.89
13,1907,258.89
14,1907,258.89
15,1907,258.89
16,1907,258.89
17,1907,258.89
18,1907,258.89
19,1907,258.89
20,1907,258.89
23,1907,209.59
24,1907,209.59
25,1907,209.59
26,1907,209.59
27,1907,209.59
28,1907,209.59
29,1907,209.59
30,1907,209.59
33,1907,233.75
34,1907,233.75
35,1907,233.75
36,1907,233.75
37,1907,233.75
38,1907,233.75
39,1907,233.75
40,1907,233.75
41,1907,230.15
42,1907,230.15
43,1907,230.15
44,1907,230.15
45,1907,211.25
46,1907,211.25
47,1907,211.25
48,1907,211.25
49,1907,211.25
50,1907,211.25
51,1907,211.25
52,1907,211.25
53,1907,211.25
54,1907,222.6
55,1907,222.6
56,1907,232.64
57,1907,232.64
58,1907,232.64
59,1907,232.64
60,1907,232.64
61,1907,268.97
62,1907,268.97
63,1907,268.97
64,1907,268.97
65,1907,268.97
66,1907,249.84
67,1907,249.84
68,1907,249.84
69,1907,249.84
70,1907,249.84
71,1907,348.36
72,1907,348.36
73,1907,348.36
74,1907,348.36
75,1907,348.36
76,1907,336.74
77,1907,336.74
78,1907,270.88
79,1907,270.88
80,1907,270.88
81,1907,335.01
82,1907,335.01
83,1907,335.01
84,1907,335.01
85,1907,335.01
86,1907,335.01
87,1907,335.01
88,1907,335.01
89,1907,335.01
90,1907,232.29
91,1907,232.29
92,1907,232.29
1,1908,201.42
2,1908,201.42
3,1908,201.42
4,1908,201.42
5,1908,201.42
6,1908,201.42
