compartimento,year,sex,age_group,age_lo,ax,mx,qx,lx,dx,Lx,Tx,ex
LOMBARDIA,1901,T,40_44,40,2.5,0.009573,0.046747,55352.8,2587.6,270295.2,1494058.7,26.99
LOMBARDIA,1901,T,45_49,45,2.5,0.011437,0.055597,52765.3,2933.6,256492.3,1223763.4,23.19
LOMBARDIA,1901,T,50_54,50,2.5,0.016169,0.077704,49831.7,3872.1,239478.1,967271.1,19.41
LOMBARDIA,1901,T,55_59,55,2.5,0.022744,0.107603,45959.6,4945.4,217434.4,727793.0,15.84
LOMBARDIA,1901,T,60_64,60,2.5,0.037926,0.173209,41014.2,7104.0,187310.9,510358.7,12.44
LOMBARDIA,1901,T,65_69,65,2.5,0.061004,0.264658,33910.2,8974.6,147114.3,323047.8,9.53
LOMBARDIA,1901,T,70_74,70,2.5,0.10306,0.409733,24935.6,10216.9,99135.5,175933.5,7.06
LOMBARDIA,1901,T,75_79,75,2.5,0.15906,0.569027,14718.6,8375.3,52654.9,76797.9,5.22
LOMBARDIA,1901,T,80_84,80,2.5,0.244442,0.758617,6343.3,4812.2,19686.3,24143.0,3.81
LOMBARDIA,1901,T,85plus,85,2.9107,0.343562,1.0,1531.2,1531.2,4456.8,4456.8,2.91
LOMBARDIA,1901,M,0,0,0.2992,0.238158,0.204093,100000.0,20409.3,85696.2,4089283.7,40.89
LOMBARDIA,1901,M,1_4,1,1.5,0.036392,0.133427,79590.7,10619.6,291814.1,4003587.6,50.3
LOMBARDIA,1901,M,5_9,5,2.5,0.005662,0.027916,68971.2,1925.4,340042.5,3711773.5,53.82
LOMBARDIA,1901,M,10_14,10,2.5,0.003307,0.016398,67045.8,1099.4,332480.5,3371731.0,50.29
LOMBARDIA,1901,M,15_19,15,2.5,0.004813,0.02378,65946.4,1568.2,325811.5,3039250.5,46.09
LOMBARDIA,1901,M,20_24,20,2.5,0.006521,0.032084,64378.2,2065.5,316727.2,2713439.1,42.15
LOMBARDIA,1901,M,25_29,25,2.5,0.006338,0.031195,62312.7,1943.8,306703.8,2396711.9,38.46
LOMBARDIA,1901,M,30_34,30,2.5,0.006402,0.031505,60368.9,1901.9,297089.5,2090008.1,34.62
LOMBARDIA,1901,M,35_39,35,2.5,0.006991,0.034353,58467.0,2008.5,287313.5,1792918.6,30.67
LOMBARDIA,1901,M,40_44,40,2.5,0.009732,0.047503,56458.5,2682.0,275587.3,1505605.1,26.67
LOMBARDIA,1901,M,45_49,45,2.5,0.012081,0.058633,53776.5,3153.1,260999.7,1230017.7,22.87
LOMBARDIA,1901,M,50_54,50,2.5,0.017476,0.083721,50623.4,4238.3,242521.3,969018.1,19.14
LOMBARDIA,1901,M,55_59,55,2.5,0.024339,0.114716,46385.1,5321.1,218622.8,726496.8,15.66
LOMBARDIA,1901,M,60_64,60,2.5,0.039002,0.177683,41064.0,7296.4,187079.1,507873.9,12.37
LOMBARDIA,1901,M,65_69,65,2.5,0.060562,0.262991,33767.6,8880.6,146636.7,320794.8,9.5
LOMBARDIA,1901,M,70_74,70,2.5,0.103332,0.41059,24887.0,10218.4,98889.3,174158.2,7.0
