COD_PROV,DEN_PROV,sex,age_group,age_lo,ax,mx,qx,lx,dx,Lx,Tx,ex
42,Ancona,M,50_54,50,2.5,0.018349,0.087721,38490.8,3376.5,184012.9,798204.0,20.74
42,Ancona,M,55_59,55,2.5,0.023312,0.110143,35114.4,3867.6,165902.8,614191.1,17.49
42,Ancona,M,60_64,60,2.5,0.025402,0.119425,31246.7,3731.6,146904.6,448288.3,14.35
42,Ancona,M,65_69,65,2.5,0.051808,0.229335,27515.1,6310.2,121800.1,301383.7,10.95
42,Ancona,M,70_74,70,2.5,0.07473,0.314831,21204.9,6676.0,89334.8,179583.6,8.47
42,Ancona,M,75_79,75,2.5,0.134886,0.504353,14529.0,7327.7,54325.5,90248.9,6.21
42,Ancona,M,80_84,80,2.5,0.167143,0.58942,7201.2,4244.6,25394.8,35923.4,4.99
42,Ancona,M,85plus,85,3.5609,0.280826,1.0,2956.7,2956.7,10528.5,10528.5,3.56
42,Ancona,F,0,0,0.3141,0.269037,0.227125,100000.0,22712.5,84421.7,3325464.1,33.25
42,Ancona,F,1_4,1,1.5,0.077599,0.259964,77287.5,20092.0,258920.0,3241042.4,41.93
42,Ancona,F,5_9,5,2.5,0.011417,0.055502,57195.5,3174.5,278041.3,2982122.4,52.14
42,Ancona,F,10_14,10,2.5,0.005566,0.027448,54021.0,1482.8,266398.2,2704081.1,50.06
42,Ancona,F,15_19,15,2.5,0.006168,0.030373,52538.2,1595.8,258701.8,2437682.9,46.4
42,Ancona,F,20_24,20,2.5,0.007837,0.03843,50942.5,1957.7,249818.2,2178981.0,42.77
42,Ancona,F,25_29,25,2.5,0.007017,0.034482,48984.8,1689.1,240701.2,1929162.9,39.38
42,Ancona,F,30_34,30,2.5,0.008964,0.043836,47295.7,2073.3,231295.3,1688461.7,35.7
42,Ancona,F,35_39,35,2.5,0.009227,0.045094,45222.4,2039.2,221014.0,1457166.4,32.22
42,Ancona,F,40_44,40,2.5,0.009772,0.047696,43183.2,2059.7,210766.7,1236152.4,28.63
42,Ancona,F,45_49,45,2.5,0.011526,0.056014,41123.5,2303.5,199858.7,1025385.8,24.93
42,Ancona,F,50_54,50,2.5,0.014684,0.070819,38820.0,2749.2,187227.0,825527.1,21.27
42,Ancona,F,55_59,55,2.5,0.018941,0.090424,36070.8,3261.7,172199.9,638300.1,17.7
42,Ancona,F,60_64,60,2.5,0.028712,0.133945,32809.1,4394.6,153059.2,466100.3,14.21
42,Ancona,F,65_69,65,2.5,0.04635,0.207683,28414.5,5901.2,127319.5,313041.1,11.02
42,Ancona,F,70_74,70,2.5,0.079384,0.331193,22513.3,7456.2,93925.9,185721.6,8.25
42,Ancona,F,75_79,75,2.5,0.147099,0.537742,15057.1,8096.8,55043.3,91795.7,6.1
42,Ancona,F,80_84,80,2.5,0.184463,0.631223,6960.3,4393.5,23817.6,36752.4,5.28
42,Ancona,F,85plus,85,5.0393,0.19844,1.0,2566.8,2566.8,12934.8,12934.8,5.04
66,Aquila degli Abruzzi,T,0,0,0.3059,0.246425,0.210433,100000.0,21043.3,85394.2,3394628.5,33.95
66,Aquila degli Abruzzi,T,1_4,1,1.5,0.073269,0.247703,78956.7,19557.8,266932.4,3309234.3,41.91
66,Aquila degli Abruzzi,T,5_9,5,2.5,0.01288,0.062392,59398.9,3706.0,287729.5,3042301.9,51.22
66,Aquila degli Abruzzi,T,10_14,10,2.5,0.005006,0.024722,55692.9,1376.8,275022.4,2754572.4,49.46
66,Aquila degli Abruzzi,T,15_19,15,2.5,0.006229,0.030668,54316.1,1665.8,267415.9,2479550.0,45.65
66,Aquila degli Abruzzi,T,20_24,20,2.5,0.008893,0.043496,52650.3,2290.1,257526.2,2212134.2,42.02
66,Aquila degli Abruzzi,T,25_29,25,2.5,0.008495,0.041593,50360.2,2094.6,246564.4,1954607.9,38.81
66,Aquila degli Abruzzi,T,30_34,30,2.5,0.00741,0.036378,48265.5,1755.8,236938.2,1708043.6,35.39
66,Aquila degli Abruzzi,T,35_39,35,2.5,0.008567,0.041935,46509.7,1950.4,227672.6,1471105.4,31.63
66,Aquila degli Abruzzi,T,40_44,40,2.5,0.009907,0.048336,44559.3,2153.8,217412.1,1243432.8,27.91
66,Aquila degli Abruzzi,T,45_49,45,2.5,0.012787,0.061957,42405.5,2627.3,205459.2,1026020.7,24.2
66,Aquila degli Abruzzi,T,50_54,50,2.5,0.01361,0.065809,39778.2,2617.8,192346.5,820561.5,20.63
66,Aquila degli Abruzzi,T,55_59,55,2.5,0.021935,0.103975,37160.4,3863.7,176142.8,628215.0,16.91
66,Aquila degli Abruzzi,T,60_64,60,2.5,0.030076,0.139863,33296.7,4657.0,154840.9,452072.2,13.58
66,Aquila degli Abruzzi,T,65_69,65,2.5,0.054871,0.24126,28639.7,6909.6,125924.4,297231.3,10.38
66,Aquila degli Abruzzi,T,70_74,70,2.5,0.085441,0.352013,21730.1,7649.3,89527.2,171306.9,7.88
66,Aquila degli Abruzzi,T,75_79,75,2.5,0.131868,0.495867,14080.8,6982.2,52948.5,81779.6,5.81
66,Aquila degli Abruzzi,T,80_84,80,2.5,0.233645,0.737463,7098.6,5235.0,22405.6,28831.1,4.06
66,Aquila degli Abruzzi,T,85plus,85,3.4478,0.290037,1.0,1863.6,1863.6,6425.5,6425.5,3.45
66,Aquila degli Abruzzi,M,0,0,0.2992,0.263344,0.222313,100000.0,22231.3,84419.2,3335044.6,33.35
66,Aquila degli Abruzzi,M,1_4,1,1.5,0.074628,0.251577,77768.7,19564.8,262162.7,3250625.4,41.8
66,Aquila degli Abruzzi,M,5_9,5,2.5,0.012329,0.059801,58203.9,3480.7,282317.7,2988462.7,51.34
66,Aquila degli Abruzzi,M,10_14,10,2.5,0.004683,0.023145,54723.2,1266.6,270449.6,2706145.0,49.45
66,Aquila degli Abruzzi,M,15_19,15,2.5,0.00661,0.032512,53456.6,1738.0,262938.2,2435695.4,45.56
66,Aquila degli Abruzzi,M,20_24,20,2.5,0.010743,0.052311,51718.6,2705.4,251829.6,2172757.2,42.01
66,Aquila degli Abruzzi,M,25_29,25,2.5,0.00815,0.039939,49013.2,1957.5,240172.2,1920927.6,39.19
66,Aquila degli Abruzzi,M,30_34,30,2.5,0.007232,0.035519,47055.7,1671.4,231100.0,1680755.4,35.72
66,Aquila degli Abruzzi,M,35_39,35,2.5,0.007673,0.037641,45384.3,1708.3,222650.8,1449655.5,31.94
66,Aquila degli Abruzzi,M,40_44,40,2.5,0.010015,0.048852,43676.0,2133.6,213045.9,1227004.7,28.09
66,Aquila degli Abruzzi,M,45_49,45,2.5,0.013757,0.066496,41542.4,2762.4,200805.8,1013958.7,24.41
