"code","province","age_class","male","female","total"
"024","Vicenza","35-39",12697,14584,27281
"024","Vicenza","40-44",12001,13056,25057
"024","Vicenza","45-49",10672,11541,22213
"024","Vicenza","50-54",9429,10062,19491
"024","Vicenza","55-59",8556,8729,17285
"024","Vicenza","60-64",7851,7945,15796
"024","Vicenza","65-69",7182,6697,13879
"024","Vicenza","70-74",5107,4743,9850
"024","Vicenza","75-79",2689,2419,5108
"024","Vicenza","80-84",1051,938,1989
"024","Vicenza","85+",402,362,764
"025","Belluno","0",3225,3149,6374
"025","Belluno","1-4",12149,12030,24179
"025","Belluno","5-9",13596,13761,27357
"025","Belluno","10-14",11141,11798,22939
"025","Belluno","15-19",5641,8232,13873
"025","Belluno","20-24",6617,7345,13962
"025","Belluno","25-29",3774,6538,10312
"025","Belluno","30-34",3766,6309,10075
"025","Belluno","35-39",3564,5823,9387
"025","Belluno","40-44",3449,5580,9029
"025","Belluno","45-49",3373,5132,8505
"025","Belluno","50-54",3412,4543,7955
"025","Belluno","55-59",3157,4179,7336
"025","Belluno","60-64",3062,3798,6860
"025","Belluno","65-69",2738,3337,6075
"025","Belluno","70-74",2056,2264,4320
"025","Belluno","75-79",1218,1354,2572
"025","Belluno","80-84",542,588,1130
"025","Belluno","85+",235,219,454
"026","Treviso","0",8461,8022,16483
"026","Treviso","1-4",30046,29367,59413
"026","Treviso","5-9",33864,32841,66705
"026","Treviso","10-14",30208,29043,59251
"026","Treviso","15-19",22348,23999,46347
"026","Treviso","20-24",18344,20056,38400
"026","Treviso","25-29",13785,16828,30613
"026","Treviso","30-34",12489,14158,26647
"026","Treviso","35-39",12061,13355,25416
"026","Treviso","40-44",11300,12087,23387
"026","Treviso","45-49",10136,10743,20879
"026","Treviso","50-54",8699,9033,17732
"026","Treviso","55-59",7429,7773,15202
"026","Treviso","60-64",6906,7041,13947
"026","Treviso","65-69",6229,6282,12511
"026","Treviso","70-74",4694,4691,9385
"026","Treviso","75-79",2591,2709,5300
"026","Treviso","80-84",1183,1148,2331
"026","Treviso","85+",493,561,1054
"027","Venezia","0",7328,7279,14607
"027","Venezia","1-4",24851,23689,48540
"027","Venezia","5-9",26961,26193,53154
"027","Venezia","10-14",24646,24382,49028
"027","Venezia","15-19",21802,22024,43826
"027","Venezia","20-24",21561,19729,41290
"027","Venezia","25-29",17075,17156,34231
"027","Venezia","30-34",14826,14486,29312
"027","Venezia","35-39",13295,13493,26788
"027","Venezia","40-44",12019,11917,23936
"027","Venezia","45-49",11453,11560,23013
"027","Venezia","50-54",9671,10063,19734
"027","Venezia","55-59",8061,8368,16429
"027","Venezia","60-64",6795,7629,14424
"027","Venezia","65-69",5528,6456,11984
"027","Venezia","70-74",3735,4635,8370
"027","Venezia","75-79",2117,2783,4900
"027","Venezia","80-84",830,1223,2053
"027","Venezia","85+",324,502,826
"028","Padova","0",8702,8223,16925
"028","Padova","1-4",29131,28430,57561
"028","Padova","5-9",33137,31353,64490
"028","Padova","10-14",30818,29211,60029
"028","Padova","15-19",23812,24524,48336
"028","Padova","20-24",19298,21712,41010
"028","Padova","25-29",17426,18976,36402
"028","Padova","30-34",14838,15801,30639
"028","Padova","35-39",13963,14887,28850
"028","Padova","40-44",12884,13436,26320
"028","Padova","45-49",11550,11980,23530
"028","Padova","50-54",9847,10198,20045
"028","Padova","55-59",8343,8681,17024
"028","Padova","60-64",7699,8235,15934
"028","Padova","65-69",6816,7074,13890
"028","Padova","70-74",5061,5198,10259
"028","Padova","75-79",2447,2605,5052
"028","Padova","80-84",909,1080,1989
"028","Padova","85+",391,466,857
"029","Rovigo","0",4448,4328,8776
"029","Rovigo","1-4",15121,14348,29469
"029","Rovigo","5-9",16470,15567,32037
"029","Rovigo","10-14",15020,14513,29533
"029","Rovigo","15-19",11882,11835,23717
"029","Rovigo","20-24",8520,10422,18942
"029","Rovigo","25-29",8423,8793,17216
"029","Rovigo","30-34",7514,7758,15272
"029","Rovigo","35-39",7268,7044,14312
"029","Rovigo","40-44",6412,6372,12784
"029","Rovigo","45-49",6076,5924,12000
"029","Rovigo","50-54",4933,4853,9786
"029","Rovigo","55-59",4212,4355,8567
"029","Rovigo","60-64",4060,4189,8249
"029","Rovigo","65-69",3604,3854,7458
"029","Rovigo","70-74",2575,2739,5314
"029","Rovigo","75-79",1422,1458,2880
"029","Rovigo","80-84",488,585,1073
"029","Rovigo","85+",145,217,362
"030","Udine","0",10805,10564,21369
"030","Udine","1-4",39526,38104,77630
"030","Udine","5-9",43734,43009,86743
"030","Udine","10-14",34789,37175,71964
"030","Udine","15-19",18954,30627,49581
"030","Udine","20-24",20311,27322,47633
"030","Udine","25-29",14332,23724,38056
"030","Udine","30-34",13369,20859,34228
"030","Udine","35-39",12329,18217,30546
"030","Udine","40-44",11600,16286,27886
"030","Udine","45-49",11439,15169,26608
"030","Udine","50-54",11079,14335,25414
"030","Udine","55-59",9948,12322,22270
"030","Udine","60-64",9901,11413,21314
"030","Udine","65-69",8836,9566,18402
"030","Udine","70-74",6687,6954,13641
"030","Udine","75-79",4103,4169,8272
"030","Udine","80-84",2031,2111,4142
"030","Udine","85+",833,810,1643
"033","Piacenza","0",3724,3492,7216
"033","Piacenza","1-4",13338,12907,26245
"033","Piacenza","5-9",15076,14654,29730
"033","Piacenza","10-14",14084,13285,27369
"033","Piacenza","15-19",10742,10155,20897
"033","Piacenza","20-24",11207,9797,21004
"033","Piacenza","25-29",8290,8864,17154
"033","Piacenza","30-34",7809,7912,15721
