COD_PROV,DEN_PROV,year,marriages,nuptiality
85,Caltanissetta,1867,1207,5.64
87,Catania,1867,1784,3.74
89,Siracusa,1867,972,3.47
90,Sassari,1867,1371,5.9
92,Cagliari,1867,1826,4.75
1,Torino,1868,7101,8.36
3,Novara,1868,4614,8.97
4,Cuneo,1868,4658,9.12
6,Alessandria,1868,5244,9.69
8,Porto Maurizio,1868,816,5.19
10,Genova,1868,5013,8.85
13,Como,1868,3767,7.12
14,Sondrio,1868,802,4.72
15,Milano,1868,8116,9.5
16,Bergamo,1868,3127,8.39
17,Brescia,1868,4165,9.64
18,Pavia,1868,3756,8.54
19,Cremona,1868,3459,11.06
20,Mantova,1868,1597,5.55
23,Verona,1868,3106,8.45
24,Vicenza,1868,3260,8.99
25,Belluno,1868,1398,7.98
26,Treviso,1868,2766,7.85
27,Venezia,1868,2956,8.76
28,Padova,1868,3376,9.26
29,Rovigo,1868,1861,9.27
30,Udine,1868,3601,7.48
33,Piacenza,1868,1682,7.52
34,Parma,1868,2045,7.74
35,Reggio nell'Emilia,1868,1721,7.25
36,Modena,1868,1799,6.57
37,Bologna,1868,2547,5.93
38,Ferrara,1868,1217,5.78
39,Ravenna,1868,966,4.37
40,Forlì,1868,1010,4.35
41,Pesaro e Urbino,1868,677,3.23
42,Ancona,1868,1090,4.19
43,Macerata,1868,1068,4.51
44,Ascoli Piceno,1868,758,3.77
45,Massa e Carrara,1868,964,6.2
46,Lucca,1868,1446,5.29
48,Firenze,1868,4906,6.58
49,Livorno,1868,840,7.13
50,Pisa,1868,1347,5.2
51,Arezzo,1868,1142,4.87
52,Siena,1868,1125,5.26
53,Grosseto,1868,557,5.31
54,Umbria,1868,2592,4.82
61,Caserta,1868,4717,6.76
62,Benevento,1868,1699,7.43
63,Napoli,1868,5775,6.45
64,Avellino,1868,2814,7.46
65,Salerno,1868,3868,7.2
66,Aquila degli Abruzzi,1868,2036,6.24
67,Teramo,1868,1948,7.48
69,Chieti,1868,2840,8.45
70,Campobasso,1868,3148,8.92
71,Foggia,1868,2776,8.38
72,Bari delle Puglie,1868,5803,9.81
75,Lecce,1868,4193,8.77
76,Potenza,1868,4642,9.09
78,Cosenza,1868,2901,6.59
79,Catanzaro,1868,2184,5.41
80,Reggio di Calabria,1868,1837,5.3
81,Trapani,1868,1565,6.81
82,Palermo,1868,4005,6.48
83,Messina,1868,2201,5.46
84,Girgenti,1868,2121,7.37
85,Caltanissetta,1868,1765,8.09
87,Catania,1868,2811,5.83
89,Siracusa,1868,1589,5.6
90,Sassari,1868,1461,6.21
92,Cagliari,1868,1926,4.98
1,Torino,1869,7195,8.08
3,Novara,1869,4698,8.52
4,Cuneo,1869,5243,9.6
6,Alessandria,1869,5588,9.5
8,Porto Maurizio,1869,742,5.04
10,Genova,1869,5251,8.52
13,Como,1869,3929,7.68
14,Sondrio,1869,790,5.27
15,Milano,1869,8809,9.73
16,Bergamo,1869,3044,8.2
17,Brescia,1869,3703,8.42
18,Pavia,1869,3596,8.12
19,Cremona,1869,2687,8.7
20,Mantova,1869,2567,8.91
23,Verona,1869,3015,8.21
24,Vicenza,1869,3134,8.64
25,Belluno,1869,1407,8.03
26,Treviso,1869,2976,8.45
27,Venezia,1869,2793,8.28
28,Padova,1869,3089,8.48
29,Rovigo,1869,1906,9.5
30,Udine,1869,3857,8.02
33,Piacenza,1869,1784,7.95
34,Parma,1869,2106,7.97
35,Reggio nell'Emilia,1869,1813,7.6
36,Modena,1869,1761,6.44
37,Bologna,1869,2509,5.8
38,Ferrara,1869,1281,6.03
39,Ravenna,1869,1133,5.13
40,Forlì,1869,1099,4.72
41,Pesaro e Urbino,1869,807,3.83
42,Ancona,1869,1244,4.77
43,Macerata,1869,1174,4.96
44,Ascoli Piceno,1869,917,4.55
45,Massa e Carrara,1869,918,5.83
46,Lucca,1869,1855,6.73
48,Firenze,1869,5139,6.83
49,Livorno,1869,827,7.01
50,Pisa,1869,1710,6.54
51,Arezzo,1869,1338,5.7
52,Siena,1869,1433,6.78
53,Grosseto,1869,577,5.47
54,Umbria,1869,2974,5.49
61,Caserta,1869,6198,8.89
62,Benevento,1869,2196,9.56
63,Napoli,1869,6715,7.47
64,Avellino,1869,3475,9.21
65,Salerno,1869,4873,9.05
66,Aquila degli Abruzzi,1869,2431,7.4
67,Teramo,1869,1862,7.29
69,Chieti,1869,3136,9.29
70,Campobasso,1869,3393,9.59
71,Foggia,1869,3330,10.14
72,Bari delle Puglie,1869,5906,9.9
75,Lecce,1869,4642,9.62
76,Potenza,1869,4814,9.43
78,Cosenza,1869,4019,9.11
79,Catanzaro,1869,3653,8.98
80,Reggio di Calabria,1869,2988,8.56
81,Trapani,1869,1991,8.58
82,Palermo,1869,5265,8.52
83,Messina,1869,2894,7.16
84,Girgenti,1869,2887,10.03
85,Caltanissetta,1869,2464,11.09
87,Catania,1869,4190,8.62
89,Siracusa,1869,2770,9.65
90,Sassari,1869,1664,6.99
92,Cagliari,1869,2473,6.36
1,Torino,1870,7234,7.76
3,Novara,1870,4853,8.25
4,Cuneo,1870,5210,8.95
6,Alessandria,1870,5509,8.66
8,Porto Maurizio,1870,905,6.6
10,Genova,1870,4915,7.38
13,Como,1870,4058,8.2
14,Sondrio,1870,822,6.31
15,Milano,1870,8493,8.87
16,Bergamo,1870,2881,7.8
17,Brescia,1870,3305,7.38
18,Pavia,1870,3572,8.02
19,Cremona,1870,2258,7.41
20,Mantova,1870,2367,8.22
23,Verona,1870,2742,7.46
24,Vicenza,1870,3135,8.64
25,Belluno,1870,1393,7.95
26,Treviso,1870,2671,7.58
27,Venezia,1870,2719,8.06
28,Padova,1870,2760,7.57
29,Rovigo,1870,1724,8.59
30,Udine,1870,3775,7.85
33,Piacenza,1870,1657,7.36
34,Parma,1870,1982,7.5
35,Reggio nell'Emilia,1870,1871,7.81
36,Modena,1870,1800,6.58
37,Bologna,1870,2770,6.35
38,Ferrara,1870,1261,5.9
39,Ravenna,1870,1047,4.74
40,Forlì,1870,1189,5.08
41,Pesaro e Urbino,1870,852,4.02
42,Ancona,1870,1267,4.84
43,Macerata,1870,1044,4.41
44,Ascoli Piceno,1870,764,3.78
45,Massa e Carrara,1870,919,5.75
46,Lucca,1870,1860,6.68
48,Firenze,1870,5409,7.12
49,Livorno,1870,749,6.34
50,Pisa,1870,1646,6.24
51,Arezzo,1870,1346,5.74
52,Siena,1870,1384,6.63
53,Grosseto,1870,604,5.69
54,Umbria,1870,2670,4.89
61,Caserta,1870,5514,7.91
62,Benevento,1870,1704,7.38
63,Napoli,1870,6572,7.28
64,Avellino,1870,2940,7.79
65,Salerno,1870,4212,7.8
66,Aquila degli Abruzzi,1870,2371,7.16
67,Teramo,1870,1615,6.44
69,Chieti,1870,2563,7.57
70,Campobasso,1870,3031,8.54
71,Foggia,1870,2558,7.86
72,Bari delle Puglie,1870,4690,7.79
75,Lecce,1870,3174,6.52
76,Potenza,1870,3886,7.61
78,Cosenza,1870,3298,7.45
79,Catanzaro,1870,2736,6.68
80,Reggio di Calabria,1870,2565,7.3
81,Trapani,1870,1903,8.13
82,Palermo,1870,4462,7.22
83,Messina,1870,2502,6.17
84,Girgenti,1870,2336,8.12
85,Caltanissetta,1870,1983,8.77
87,Catania,1870,4300,8.76
89,Siracusa,1870,2456,8.45
90,Sassari,1870,1578,6.56
92,Cagliari,1870,2658,6.8
1,Torino,1871,7718,7.93
3,Novara,1871,4893,7.83
4,Cuneo,1871,5960,9.65
6,Alessandria,1871,5333,7.8
8,Porto Maurizio,1871,921,7.25
10,Genova,1871,5371,7.51
13,Como,1871,3870,8.1
14,Sondrio,1871,767,6.95
15,Milano,1871,8893,8.82
16,Bergamo,1871,2869,7.8
17,Brescia,1871,3421,7.51
18,Pavia,1871,3302,7.37
19,Cremona,1871,2259,7.52
20,Mantova,1871,1369,4.75
23,Verona,1871,2705,7.36
24,Vicenza,1871,2784,7.67
25,Belluno,1871,1461,8.34
26,Treviso,1871,2581,7.33
27,Venezia,1871,2557,7.58
28,Padova,1871,2692,7.39
29,Rovigo,1871,1624,8.09
30,Udine,1871,3858,8.02
33,Piacenza,1871,1586,7.02
34,Parma,1871,1888,7.14
35,Reggio nell'Emilia,1871,1570,6.53
36,Modena,1871,1492,5.45
37,Bologna,1871,2588,5.89
38,Ferrara,1871,1306,6.06
39,Ravenna,1871,1069,4.84
40,Forlì,1871,1017,4.33
41,Pesaro e Urbino,1871,871,4.09
42,Ancona,1871,1255,4.78
43,Macerata,1871,1085,4.58
44,Ascoli Piceno,1871,675,3.33
45,Massa e Carrara,1871,964,5.95
46,Lucca,1871,2034,7.25
48,Firenze,1871,5509,7.19
49,Livorno,1871,839,7.1
50,Pisa,1871,1755,6.6
51,Arezzo,1871,1318,5.62
52,Siena,1871,1323,6.41
53,Grosseto,1871,608,5.69
54,Umbria,1871,2671,4.86
61,Caserta,1871,5343,7.66
62,Benevento,1871,1884,8.12
63,Napoli,1871,6823,7.53
64,Avellino,1871,3027,8.02
65,Salerno,1871,4467,8.25
66,Aquila degli Abruzzi,1871,2362,7.09
67,Teramo,1871,1403,5.71
69,Chieti,1871,3350,9.85
70,Campobasso,1871,3991,11.21
71,Foggia,1871,2908,9.01
72,Bari delle Puglie,1871,4811,7.92
75,Lecce,1871,3937,8.02
76,Potenza,1871,4315,8.45
78,Cosenza,1871,3775,8.5
79,Catanzaro,1871,3064,7.43
80,Reggio di Calabria,1871,2987,8.45
81,Trapani,1871,2258,9.55
82,Palermo,1871,4765,7.72
83,Messina,1871,2993,7.36
84,Girgenti,1871,2488,8.65
85,Caltanissetta,1871,2266,9.85
87,Catania,1871,4414,8.91
89,Siracusa,1871,2513,8.55
90,Sassari,1871,1518,6.24
92,Cagliari,1871,2546,6.47
1,Torino,1872,7583,7.75
3,Novara,1872,5488,8.71
4,Cuneo,1872,5239,8.46
6,Alessandria,1872,5781,8.4
8,Porto Maurizio,1872,840,6.58
10,Genova,1872,5690,7.9
13,Como,1872,4329,8.99
14,Sondrio,1872,837,7.5
15,Milano,1872,9370,9.19
16,Bergamo,1872,2730,7.38
17,Brescia,1872,3552,7.77
18,Pavia,1872,3945,8.76
19,Cremona,1872,2468,8.21
20,Mantova,1872,2125,7.36
23,Verona,1872,2474,6.69
24,Vicenza,1872,2489,6.8
25,Belluno,1872,1843,10.52
26,Treviso,1872,2991,8.44
27,Venezia,1872,2194,6.47
28,Padova,1872,2636,7.17
29,Rovigo,1872,1439,7.11
30,Udine,1872,3118,6.45
33,Piacenza,1872,1732,7.67
34,Parma,1872,1872,7.07
35,Reggio nell'Emilia,1872,1550,6.43
36,Modena,1872,1618,5.9
37,Bologna,1872,2585,5.86
38,Ferrara,1872,1333,6.15
39,Ravenna,1872,1249,5.64
40,Forlì,1872,1118,4.72
41,Pesaro e Urbino,1872,1100,5.14
42,Ancona,1872,1497,5.69
43,Macerata,1872,1231,5.19
44,Ascoli Piceno,1872,985,4.84
45,Massa e Carrara,1872,889,5.47
46,Lucca,1872,1920,6.83
48,Firenze,1872,5686,7.4
49,Livorno,1872,869,7.33
50,Pisa,1872,1905,7.12
51,Arezzo,1872,1322,5.62
52,Siena,1872,1415,6.86
53,Grosseto,1872,656,6.1
54,Umbria,1872,2959,5.36
58,Roma,1872,2516,2.98
61,Caserta,1872,5460,7.81
62,Benevento,1872,2026,8.71
63,Napoli,1872,6881,7.51
64,Avellino,1872,3240,8.55
65,Salerno,1872,4872,8.99
66,Aquila degli Abruzzi,1872,2558,7.63
67,Teramo,1872,1591,6.45
69,Chieti,1872,2839,8.34
70,Campobasso,1872,3201,8.97
71,Foggia,1872,3156,9.68
72,Bari delle Puglie,1872,5266,8.57
75,Lecce,1872,3983,8.01
76,Potenza,1872,4995,9.76
78,Cosenza,1872,3634,8.17
79,Catanzaro,1872,3132,7.56
80,Reggio di Calabria,1872,2521,7.09
