compartimento,year,sex,age_group,age_lo,age_hi,count,unit,source,notes
Veneto,1890,M,nato 1850-54,36,40,1372,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Veneto,1890,M,nato 1845-49,41,45,836,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Veneto,1890,M,nato 1840-44,46,50,517,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Veneto,1890,M,nato 1835-39,51,55,283,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Veneto,1890,M,nato 1830-34,56,60,158,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Veneto,1890,M,nato 1825-29,61,65,114,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Veneto,1890,M,nato prima del 1825,65,,93,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Veneto,1890,M,ignota,,,41,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Emilia,1890,M,nato 1872 e dopo,0,18,28,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Emilia,1890,M,nato 1870-71,19,20,217,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Emilia,1890,M,nato 1868-69,21,22,912,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Emilia,1890,M,nato 1866-67,23,24,2100,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Emilia,1890,M,nato 1864-65,25,26,3093,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Emilia,1890,M,nato 1862-63,27,28,2619,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Emilia,1890,M,nato 1860-61,29,30,1804,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Emilia,1890,M,nato 1855-59,31,35,2686,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Emilia,1890,M,nato 1850-54,36,40,1348,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Emilia,1890,M,nato 1845-49,41,45,849,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Emilia,1890,M,nato 1840-44,46,50,557,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Emilia,1890,M,nato 1835-39,51,55,273,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Emilia,1890,M,nato 1830-34,56,60,179,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Emilia,1890,M,nato 1825-29,61,65,120,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Emilia,1890,M,nato prima del 1825,65,,95,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Emilia,1890,M,ignota,,,49,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Toscana,1890,M,nato 1872 e dopo,0,18,52,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Toscana,1890,M,nato 1870-71,19,20,375,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Toscana,1890,M,nato 1868-69,21,22,1192,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Toscana,1890,M,nato 1866-67,23,24,2679,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Toscana,1890,M,nato 1864-65,25,26,3476,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Toscana,1890,M,nato 1862-63,27,28,2700,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Toscana,1890,M,nato 1860-61,29,30,1742,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Toscana,1890,M,nato 1855-59,31,35,2469,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Toscana,1890,M,nato 1850-54,36,40,1226,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Toscana,1890,M,nato 1845-49,41,45,700,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Toscana,1890,M,nato 1840-44,46,50,453,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Toscana,1890,M,nato 1835-39,51,55,286,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Toscana,1890,M,nato 1830-34,56,60,189,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Toscana,1890,M,nato 1825-29,61,65,114,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Toscana,1890,M,nato prima del 1825,65,,95,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Toscana,1890,M,ignota,,,33,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Marche,1890,M,nato 1872 e dopo,0,18,17,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Marche,1890,M,nato 1870-71,19,20,81,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Marche,1890,M,nato 1868-69,21,22,310,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Marche,1890,M,nato 1866-67,23,24,926,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Marche,1890,M,nato 1864-65,25,26,1380,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Marche,1890,M,nato 1862-63,27,28,1288,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Marche,1890,M,nato 1860-61,29,30,958,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Marche,1890,M,nato 1855-59,31,35,1408,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Marche,1890,M,nato 1850-54,36,40,530,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Marche,1890,M,nato 1845-49,41,45,310,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Marche,1890,M,nato 1840-44,46,50,231,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Marche,1890,M,nato 1835-39,51,55,138,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Marche,1890,M,nato 1830-34,56,60,89,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Marche,1890,M,nato 1825-29,61,65,48,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Marche,1890,M,nato prima del 1825,65,,61,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Marche,1890,M,ignota,,,6,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Umbria,1890,M,nato 1872 e dopo,0,18,9,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Umbria,1890,M,nato 1870-71,19,20,35,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Umbria,1890,M,nato 1868-69,21,22,139,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Umbria,1890,M,nato 1866-67,23,24,476,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Umbria,1890,M,nato 1864-65,25,26,746,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Umbria,1890,M,nato 1862-63,27,28,625,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Umbria,1890,M,nato 1860-61,29,30,553,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Umbria,1890,M,nato 1855-59,31,35,870,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Umbria,1890,M,nato 1850-54,36,40,415,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Umbria,1890,M,nato 1845-49,41,45,310,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Umbria,1890,M,nato 1840-44,46,50,163,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Umbria,1890,M,nato 1835-39,51,55,107,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Umbria,1890,M,nato 1830-34,56,60,69,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Umbria,1890,M,nato 1825-29,61,65,46,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Umbria,1890,M,nato prima del 1825,65,,21,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Umbria,1890,M,ignota,,,15,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Lazio,1890,M,nato 1872 e dopo,0,18,15,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Lazio,1890,M,nato 1870-71,19,20,97,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Lazio,1890,M,nato 1868-69,21,22,336,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Lazio,1890,M,nato 1866-67,23,24,770,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Lazio,1890,M,nato 1864-65,25,26,1183,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Lazio,1890,M,nato 1862-63,27,28,1036,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Lazio,1890,M,nato 1860-61,29,30,843,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Lazio,1890,M,nato 1855-59,31,35,1455,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Lazio,1890,M,nato 1850-54,36,40,681,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Lazio,1890,M,nato 1845-49,41,45,427,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Lazio,1890,M,nato 1840-44,46,50,228,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Lazio,1890,M,nato 1835-39,51,55,104,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Lazio,1890,M,nato 1830-34,56,60,70,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Lazio,1890,M,nato 1825-29,61,65,37,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Lazio,1890,M,nato prima del 1825,65,,40,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Lazio,1890,M,ignota,,,31,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Abruzzi e Molise,1890,M,nato 1872 e dopo,0,18,123,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Abruzzi e Molise,1890,M,nato 1870-71,19,20,498,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Abruzzi e Molise,1890,M,nato 1868-69,21,22,1037,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Abruzzi e Molise,1890,M,nato 1866-67,23,24,1888,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Abruzzi e Molise,1890,M,nato 1864-65,25,26,2035,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Abruzzi e Molise,1890,M,nato 1862-63,27,28,1383,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Abruzzi e Molise,1890,M,nato 1860-61,29,30,916,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Abruzzi e Molise,1890,M,nato 1855-59,31,35,1447,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
