province,year,marriages,COD_PROV,DEN_PROV,source,validated
Benevento,1865,2256,62,Benevento,TAVOLA_VI_1881,OK
Bergamo,1865,3390,16,Bergamo,TAVOLA_VI_1881,OK
Bologna,1865,3349,37,Bologna,TAVOLA_VI_1881,OK
Brescia,1865,4820,17,Brescia,TAVOLA_VI_1881,OK
Cagliari,1865,3819,92,Cagliari,TAVOLA_VI_1881,OK
Caltanissetta,1865,1635,85,Caltanissetta,TAVOLA_VI_1881,OK
Campobasso,1865,3579,70,Campobasso,TAVOLA_VI_1881,OK
Caserta,1865,6250,61,Caserta,TAVOLA_VI_1881,OK
Catania,1865,3324,87,Catania,TAVOLA_VI_1881,OK
Catanzaro,1865,4134,79,Catanzaro,TAVOLA_VI_1881,OK
Chieti,1865,3454,69,Chieti,TAVOLA_VI_1881,OK
Como,1865,4235,13,Como,TAVOLA_VI_1881,OK
Cosenza,1865,4418,78,Cosenza,TAVOLA_VI_1881,OK
Cremona,1865,3556,19,Cremona,TAVOLA_VI_1881,OK
Cuneo,1865,6154,4,Cuneo,TAVOLA_VI_1881,OK
Ferrara,1865,2077,38,Ferrara,TAVOLA_VI_1881,OK
Firenze,1865,7400,48,Firenze,TAVOLA_VI_1881,OK
Foggia,1865,3087,71,Foggia,TAVOLA_VI_1881,OK
Forlì,1865,1664,40,Forlì,TAVOLA_VI_1881,OK
Genova,1865,7751,10,Genova,TAVOLA_VI_1881,OK
Girgenti,1865,2012,84,Girgenti,TAVOLA_VI_1881,OK
Grosseto,1865,953,53,Grosseto,TAVOLA_VI_1881,OK
Lecce,1865,4459,75,Lecce,TAVOLA_VI_1881,OK
Livorno,1865,1206,49,Livorno,TAVOLA_VI_1881,OK
Lucca,1865,2586,46,Lucca,TAVOLA_VI_1881,OK
Macerata,1865,1637,43,Macerata,TAVOLA_VI_1881,OK
Mantova,1865,347,20,Mantova,TAVOLA_VI_1881,OK
Massa e Carrara,1865,1406,45,Massa e Carrara,TAVOLA_VI_1881,OK
Messina,1865,2975,83,Messina,TAVOLA_VI_1881,OK
Milano,1865,8880,15,Milano,TAVOLA_VI_1881,OK
Modena,1865,2331,36,Modena,TAVOLA_VI_1881,OK
Napoli,1865,7654,63,Napoli,TAVOLA_VI_1881,OK
Novara,1865,6575,3,Novara,TAVOLA_VI_1881,OK
Padova,1865,2940,28,Padova,TAVOLA_VI_1881,OK
Palermo,1865,4078,82,Palermo,TAVOLA_VI_1881,OK
Parma,1865,2003,34,Parma,TAVOLA_VI_1881,OK
Pavia,1865,4379,18,Pavia,TAVOLA_VI_1881,OK
Perugia,1865,3650,54,Umbria,TAVOLA_VI_1881,OK
Pesaro e Urbino,1865,1498,41,Pesaro e Urbino,TAVOLA_VI_1881,OK
Piacenza,1865,1674,33,Piacenza,TAVOLA_VI_1881,OK
Pisa,1865,2431,50,Pisa,TAVOLA_VI_1881,OK
Porto Maurizio,1865,1351,8,Porto Maurizio,TAVOLA_VI_1881,OK
Potenza,1865,5236,76,Potenza,TAVOLA_VI_1881,OK
Ravenna,1865,1648,39,Ravenna,TAVOLA_VI_1881,OK
Reggio di Calabria,1865,3024,80,Reggio di Calabria,TAVOLA_VI_1881,OK
Reggio nell' Emilia,1865,1866,35,Reggio nell'Emilia,TAVOLA_VI_1881,OK
Rovigo,1865,1694,29,Rovigo,TAVOLA_VI_1881,OK
Salerno,1865,4909,65,Salerno,TAVOLA_VI_1881,OK
Sassari,1865,2512,90,Sassari,TAVOLA_VI_1881,OK
Siena,1865,1980,52,Siena,TAVOLA_VI_1881,OK
Siracusa,1865,2079,89,Siracusa,TAVOLA_VI_1881,OK
Sondrio,1865,997,14,Sondrio,TAVOLA_VI_1881,OK
Teramo,1865,2252,67,Teramo,TAVOLA_VI_1881,OK
Torino,1865,9159,1,Torino,TAVOLA_VI_1881,OK
Trapani,1865,1668,81,Trapani,TAVOLA_VI_1881,OK
Treviso,1865,2738,26,Treviso,TAVOLA_VI_1881,OK
Udine,1865,3438,30,Udine,TAVOLA_VI_1881,OK
Venezia,1865,2404,27,Venezia,TAVOLA_VI_1881,OK
Verona,1865,2943,23,Verona,TAVOLA_VI_1881,OK
Vicenza,1865,2933,24,Vicenza,TAVOLA_VI_1881,OK
Alessandria,1866,3935,6,Alessandria,TAVOLA_VI_1881,OK
Ancona,1866,1062,42,Ancona,TAVOLA_VI_1881,OK
Aquila degli Abruzzi,1866,1665,66,Aquila degli Abruzzi,TAVOLA_VI_1881,OK
Arezzo,1866,853,51,Arezzo,TAVOLA_VI_1881,OK
Ascoli Piceno,1866,665,44,Ascoli Piceno,TAVOLA_VI_1881,OK
Aveilino,1866,2322,64,Avellino,TAVOLA_VI_1881,OK
Bari delle Puglie,1866,4234,72,Bari delle Puglie,TAVOLA_VI_1881,OK
Belluno,1866,1365,25,Belluno,TAVOLA_VI_1881,OK
Benevento,1866,1512,62,Benevento,TAVOLA_VI_1881,OK
Bergamo,1866,2017,16,Bergamo,TAVOLA_VI_1881,OK
Bologna,1866,1900,37,Bologna,TAVOLA_VI_1881,OK
Brescia,1866,2715,17,Brescia,TAVOLA_VI_1881,OK
Cagliari,1866,1389,92,Cagliari,TAVOLA_VI_1881,OK
Caltanissetta,1866,811,85,Caltanissetta,TAVOLA_VI_1881,OK
Campobasso,1866,3583,70,Campobasso,TAVOLA_VI_1881,OK
Caserta,1866,4049,61,Caserta,TAVOLA_VI_1881,OK
Catania,1866,1594,87,Catania,TAVOLA_VI_1881,OK
Catanzaro,1866,2449,79,Catanzaro,TAVOLA_VI_1881,OK
Chieti,1866,2605,69,Chieti,TAVOLA_VI_1881,OK
Como,1866,2519,13,Como,TAVOLA_VI_1881,OK
Cosenza,1866,2766,78,Cosenza,TAVOLA_VI_1881,OK
Cremona,1866,2074,19,Cremona,TAVOLA_VI_1881,OK
Cuneo,1866,3921,4,Cuneo,TAVOLA_VI_1881,OK
Ferrara,1866,348,38,Ferrara,TAVOLA_VI_1881,OK
Firenze,1866,3712,48,Firenze,TAVOLA_VI_1881,OK
Foggia,1866,2275,71,Foggia,TAVOLA_VI_1881,OK
Forlì,1866,719,40,Forlì,TAVOLA_VI_1881,OK
Genova,1866,3288,10,Genova,TAVOLA_VI_1881,OK
Girgenti,1866,841,84,Girgenti,TAVOLA_VI_1881,OK
Grosseto,1866,348,53,Grosseto,TAVOLA_VI_1881,OK
Lecce,1866,3970,75,Lecce,TAVOLA_VI_1881,OK
Livorno,1866,736,49,Livorno,TAVOLA_VI_1881,OK
Lucca,1866,1013,46,Lucca,TAVOLA_VI_1881,OK
Macerata,1866,1063,43,Macerata,TAVOLA_VI_1881,OK
Mantova,1866,1385,20,Mantova,TAVOLA_VI_1881,OK
Massa e Carrara,1866,581,45,Massa e Carrara,TAVOLA_VI_1881,OK
Messina,1866,1850,83,Messina,TAVOLA_VI_1881,OK
Milano,1866,5555,15,Milano,TAVOLA_VI_1881,OK
Modena,1866,1308,36,Modena,TAVOLA_VI_1881,OK
Napoli,1866,4773,63,Napoli,TAVOLA_VI_1881,OK
Novara,1866,4109,3,Novara,TAVOLA_VI_1881,OK
Padova,1866,2872,28,Padova,TAVOLA_VI_1881,OK
Palermo,1866,1884,82,Palermo,TAVOLA_VI_1881,OK
Parma,1866,1371,34,Parma,TAVOLA_VI_1881,OK
Pavia,1866,2714,18,Pavia,TAVOLA_VI_1881,OK
Perugia,1866,2676,54,Umbria,TAVOLA_VI_1881,OK
Pesaro e Urbino,1866,611,41,Pesaro e Urbino,TAVOLA_VI_1881,OK
Piacenza,1866,1176,33,Piacenza,TAVOLA_VI_1881,OK
Pisa,1866,1112,50,Pisa,TAVOLA_VI_1881,OK
Porto Maurizio,1866,584,8,Porto Maurizio,TAVOLA_VI_1881,OK
Potenza,1866,4126,76,Potenza,TAVOLA_VI_1881,OK
Ravenna,1866,758,39,Ravenna,TAVOLA_VI_1881,OK
Reggio di Calabria,1866,1780,80,Reggio di Calabria,TAVOLA_VI_1881,OK
Reggio nell' Emilia,1866,1162,35,Reggio nell'Emilia,TAVOLA_VI_1881,OK
Rovigo,1866,1574,29,Rovigo,TAVOLA_VI_1881,OK
Salerno,1866,3443,65,Salerno,TAVOLA_VI_1881,OK
Sassari,1866,833,90,Sassari,TAVOLA_VI_1881,OK
Siena,1866,1080,52,Siena,TAVOLA_VI_1881,OK
Siracusa,1866,1099,89,Siracusa,TAVOLA_VI_1881,OK
Sondrio,1866,641,14,Sondrio,TAVOLA_VI_1881,OK
Teramo,1866,1535,67,Teramo,TAVOLA_VI_1881,OK
Torino,1866,5640,1,Torino,TAVOLA_VI_1881,OK
Trapani,1866,875,81,Trapani,TAVOLA_VI_1881,OK
Treviso,1866,2875,26,Treviso,TAVOLA_VI_1881,OK
Udine,1866,3571,30,Udine,TAVOLA_VI_1881,OK
Venezia,1866,2154,27,Venezia,TAVOLA_VI_1881,OK
Verona,1866,2732,23,Verona,TAVOLA_VI_1881,OK
Vicenza,1866,2744,24,Vicenza,TAVOLA_VI_1881,OK
Alessandria,1867,4919,6,Alessandria,TAVOLA_VI_1881,OK
Ancona,1867,1256,42,Ancona,TAVOLA_VI_1881,OK
Aquila degli Abruzzi,1867,1974,66,Aquila degli Abruzzi,TAVOLA_VI_1881,OK
Arezzo,1867,1135,51,Arezzo,TAVOLA_VI_1881,OK
Ascoli Piceno,1867,775,44,Ascoli Piceno,TAVOLA_VI_1881,OK
Aveilino,1867,2912,64,Avellino,TAVOLA_VI_1881,OK
Bari delle Puglie,1867,5388,72,Bari delle Puglie,TAVOLA_VI_1881,OK
Belluno,1867,1410,25,Belluno,TAVOLA_VI_1881,OK
Benevento,1867,1805,62,Benevento,TAVOLA_VI_1881,OK
Bergamo,1867,2653,16,Bergamo,TAVOLA_VI_1881,OK
Bologna,1867,2345,37,Bologna,TAVOLA_VI_1881,OK
Brescia,1867,3748,17,Brescia,TAVOLA_VI_1881,OK
Cagliari,1867,1826,92,Cagliari,TAVOLA_VI_1881,OK
Caltanissetta,1867,1207,85,Caltanissetta,TAVOLA_VI_1881,OK
Campobasso,1867,3243,70,Campobasso,TAVOLA_VI_1881,OK
Caserta,1867,4842,61,Caserta,TAVOLA_VI_1881,OK
Catania,1867,1784,87,Catania,TAVOLA_VI_1881,OK
Catanzaro,1867,2928,79,Catanzaro,TAVOLA_VI_1881,OK
Chieti,1867,2637,69,Chieti,TAVOLA_VI_1881,OK
Como,1867,3209,13,Como,TAVOLA_VI_1881,OK
