COD_PROV,year,emigrants,emig_rate
2,1915,26731,7.87
3,1915,26731,7.87
4,1915,26731,7.87
5,1915,26731,7.87
6,1915,26731,7.87
7,1915,26731,7.87
1,1916,26094,7.69
2,1916,26094,7.69
3,1916,26094,7.69
4,1916,26094,7.69
5,1916,26094,7.69
6,1916,26094,7.69
7,1916,26094,7.69
1,1919,45448,13.44
2,1919,45448,13.44
3,1919,45448,13.44
4,1919,45448,13.44
5,1919,45448,13.44
6,1919,45448,13.44
7,1919,45448,13.44
1,1920,60539,17.92
2,1920,60539,17.92
3,1920,60539,17.92
4,1920,60539,17.92
5,1920,60539,17.92
6,1920,60539,17.92
7,1920,60539,17.92
1,1921,30391,9.01
2,1921,30391,9.01
3,1921,30391,9.01
4,1921,30391,9.01
5,1921,30391,9.01
6,1921,30391,9.01
7,1921,30391,9.01
71,1911,20318,9.55
72,1911,20318,9.55
73,1911,20318,9.55
74,1911,20318,9.55
75,1911,20318,9.55
71,1912,29189,13.62
72,1912,29189,13.62
73,1912,29189,13.62
74,1912,29189,13.62
75,1912,29189,13.62
71,1913,41837,19.39
72,1913,41837,19.39
73,1913,41837,19.39
74,1913,41837,19.39
75,1913,41837,19.39
71,1914,16979,7.81
72,1914,16979,7.81
73,1914,16979,7.81
74,1914,16979,7.81
75,1914,16979,7.81
71,1915,5301,2.42
72,1915,5301,2.42
73,1915,5301,2.42
74,1915,5301,2.42
75,1915,5301,2.42
71,1916,10923,4.95
72,1916,10923,4.95
73,1916,10923,4.95
74,1916,10923,4.95
75,1916,10923,4.95
71,1919,8449,3.75
72,1919,8449,3.75
73,1919,8449,3.75
74,1919,8449,3.75
75,1919,8449,3.75
71,1920,40361,17.84
72,1920,40361,17.84
73,1920,40361,17.84
74,1920,40361,17.84
75,1920,40361,17.84
71,1921,6153,2.7
72,1921,6153,2.7
73,1921,6153,2.7
74,1921,6153,2.7
75,1921,6153,2.7
90,1911,5359,6.3
91,1911,5359,6.3
92,1911,5359,6.3
90,1912,9131,10.73
91,1912,9131,10.73
92,1912,9131,10.73
90,1913,12274,14.41
91,1913,12274,14.41
92,1913,12274,14.41
90,1914,5351,6.28
91,1914,5351,6.28
92,1914,5351,6.28
90,1915,937,1.1
91,1915,937,1.1
92,1915,937,1.1
90,1916,1128,1.32
91,1916,1128,1.32
92,1916,1128,1.32
90,1919,3573,4.18
91,1919,3573,4.18
92,1919,3573,4.18
90,1920,6621,7.74
91,1920,6621,7.74
92,1920,6621,7.74
90,1921,1102,1.29
91,1921,1102,1.29
92,1921,1102,1.29
81,1911,50789,13.97
82,1911,50789,13.97
83,1911,50789,13.97
84,1911,50789,13.97
85,1911,50789,13.97
86,1911,50789,13.97
87,1911,50789,13.97
88,1911,50789,13.97
89,1911,50789,13.97
81,1912,92788,25.25
82,1912,92788,25.25
83,1912,92788,25.25
84,1912,92788,25.25
85,1912,92788,25.25
86,1912,92788,25.25
87,1912,92788,25.25
88,1912,92788,25.25
89,1912,92788,25.25
81,1913,146061,39.33
82,1913,146061,39.33
83,1913,146061,39.33
84,1913,146061,39.33
85,1913,146061,39.33
86,1913,146061,39.33
87,1913,146061,39.33
88,1913,146061,39.33
89,1913,146061,39.33
81,1914,46610,12.42
82,1914,46610,12.42
83,1914,46610,12.42
84,1914,46610,12.42
85,1914,46610,12.42
86,1914,46610,12.42
87,1914,46610,12.42
88,1914,46610,12.42
89,1914,46610,12.42
81,1915,16169,4.27
82,1915,16169,4.27
83,1915,16169,4.27
84,1915,16169,4.27
85,1915,16169,4.27
86,1915,16169,4.27
87,1915,16169,4.27
88,1915,16169,4.27
89,1915,16169,4.27
81,1916,20073,5.24
82,1916,20073,5.24
83,1916,20073,5.24
84,1916,20073,5.24
85,1916,20073,5.24
86,1916,20073,5.24
87,1916,20073,5.24
88,1916,20073,5.24
89,1916,20073,5.24
81,1919,36476,9.24
82,1919,36476,9.24
83,1919,36476,9.24
84,1919,36476,9.24
85,1919,36476,9.24
86,1919,36476,9.24
87,1919,36476,9.24
88,1919,36476,9.24
89,1919,36476,9.24
81,1920,108718,27.28
82,1920,108718,27.28
83,1920,108718,27.28
84,1920,108718,27.28
85,1920,108718,27.28
86,1920,108718,27.28
87,1920,108718,27.28
88,1920,108718,27.28
89,1920,108718,27.28
81,1921,23082,5.74
82,1921,23082,5.74
83,1921,23082,5.74
84,1921,23082,5.74
85,1921,23082,5.74
86,1921,23082,5.74
87,1921,23082,5.74
88,1921,23082,5.74
89,1921,23082,5.74
45,1911,37442,13.9
46,1911,37442,13.9
47,1911,37442,13.9
48,1911,37442,13.9
49,1911,37442,13.9
50,1911,37442,13.9
51,1911,37442,13.9
52,1911,37442,13.9
53,1911,37442,13.9
45,1912,40939,15.13
46,1912,40939,15.13
47,1912,40939,15.13
48,1912,40939,15.13
49,1912,40939,15.13
50,1912,40939,15.13
51,1912,40939,15.13
52,1912,40939,15.13
53,1912,40939,15.13
45,1913,45599,16.78
46,1913,45599,16.78
47,1913,45599,16.78
48,1913,45599,16.78
49,1913,45599,16.78
50,1913,45599,16.78
51,1913,45599,16.78
52,1913,45599,16.78
53,1913,45599,16.78
45,1914,27750,10.17
46,1914,27750,10.17
47,1914,27750,10.17
48,1914,27750,10.17
49,1914,27750,10.17
50,1914,27750,10.17
51,1914,27750,10.17
52,1914,27750,10.17
53,1914,27750,10.17
45,1915,9301,3.39
46,1915,9301,3.39
47,1915,9301,3.39
48,1915,9301,3.39
49,1915,9301,3.39
50,1915,9301,3.39
51,1915,9301,3.39
52,1915,9301,3.39
53,1915,9301,3.39
45,1916,8883,3.22
46,1916,8883,3.22
47,1916,8883,3.22
48,1916,8883,3.22
49,1916,8883,3.22
50,1916,8883,3.22
51,1916,8883,3.22
52,1916,8883,3.22
53,1916,8883,3.22
45,1919,20739,7.43
46,1919,20739,7.43
47,1919,20739,7.43
48,1919,20739,7.43
49,1919,20739,7.43
50,1919,20739,7.43
51,1919,20739,7.43
52,1919,20739,7.43
53,1919,20739,7.43
45,1920,26208,9.35
46,1920,26208,9.35
47,1920,26208,9.35
48,1920,26208,9.35
49,1920,26208,9.35
50,1920,26208,9.35
51,1920,26208,9.35
52,1920,26208,9.35
53,1920,26208,9.35
45,1921,10157,3.61
46,1921,10157,3.61
47,1921,10157,3.61
48,1921,10157,3.61
49,1921,10157,3.61
50,1921,10157,3.61
51,1921,10157,3.61
52,1921,10157,3.61
53,1921,10157,3.61
54,1911,12098,17.69
55,1911,12098,17.69
54,1912,14041,20.39
55,1912,14041,20.39
54,1913,17851,25.73
55,1913,17851,25.73
54,1914,8830,12.64
55,1914,8830,12.64
54,1915,1553,2.21
55,1915,1553,2.21
54,1916,1745,2.46
55,1916,1745,2.46
54,1919,3627,5.01
55,1919,3627,5.01
54,1920,5439,7.46
55,1920,5439,7.46
54,1921,1448,1.97
55,1921,1448,1.97
23,1911,97588,27.68
24,1911,97588,27.68
25,1911,97588,27.68
26,1911,97588,27.68
27,1911,97588,27.68
28,1911,97588,27.68
29,1911,97588,27.68
30,1911,97588,27.68
23,1912,114117,31.99
24,1912,114117,31.99
25,1912,114117,31.99
26,1912,114117,31.99
27,1912,114117,31.99
28,1912,114117,31.99
29,1912,114117,31.99
30,1912,114117,31.99
23,1913,123853,34.31
24,1913,123853,34.31
25,1913,123853,34.31
26,1913,123853,34.31
27,1913,123853,34.31
28,1913,123853,34.31
29,1913,123853,34.31
30,1913,123853,34.31
23,1914,113964,31.21
24,1914,113964,31.21
25,1914,113964,31.21
26,1914,113964,31.21
27,1914,113964,31.21
28,1914,113964,31.21
29,1914,113964,31.21
30,1914,113964,31.21
23,1915,11684,3.16
24,1915,11684,3.16
25,1915,11684,3.16
26,1915,11684,3.16
27,1915,11684,3.16
28,1915,11684,3.16
29,1915,11684,3.16
30,1915,11684,3.16
23,1916,2846,0.76
24,1916,2846,0.76
25,1916,2846,0.76
26,1916,2846,0.76
27,1916,2846,0.76
28,1916,2846,0.76
29,1916,2846,0.76
30,1916,2846,0.76
23,1919,15383,3.99
24,1919,15383,3.99
25,1919,15383,3.99
26,1919,15383,3.99
27,1919,15383,3.99
28,1919,15383,3.99
29,1919,15383,3.99
30,1919,15383,3.99
23,1920,60367,15.46
24,1920,60367,15.46
25,1920,60367,15.46
26,1920,60367,15.46
27,1920,60367,15.46
28,1920,60367,15.46
29,1920,60367,15.46
30,1920,60367,15.46
23,1921,26004,6.58
24,1921,26004,6.58
25,1921,26004,6.58
26,1921,26004,6.58
27,1921,26004,6.58
28,1921,26004,6.58
29,1921,26004,6.58
30,1921,26004,6.58
