province,year,emigrants,emig_eur,emig_trans,COD_PROV,DEN_PROV,source,validated
Ascoli Piceno,1913,8200,896,7304,44,Ascoli Piceno,ASI1914,OK
Avellino,1913,13616,90,13526,64,Avellino,ASI1914,OK
Bari delle Puglie,1913,26197,2023,24174,72,Bari delle Puglie,ASI1914,OK
Belluno,1913,18790,16536,2254,25,Belluno,ASI1914,OK
Benevento,1913,9325,49,9276,62,Benevento,ASI1914,OK
Bergamo,1913,15647,13837,1810,16,Bergamo,ASI1914,OK
Bologna,1913,5901,4969,932,37,Bologna,ASI1914,OK
Brescia,1913,12252,10205,2047,17,Brescia,ASI1914,OK
Cagliari,1913,5403,2935,2468,92,Cagliari,ASI1914,OK
Caltanissetta,1913,15399,143,15256,85,Caltanissetta,ASI1914,OK
Campobasso,1913,13912,408,13504,70,Campobasso,ASI1914,OK
Caserta,1913,30544,2334,28210,61,Caserta,ASI1914,OK
Catania,1913,20145,880,19265,87,Catania,ASI1914,OK
Catanzaro,1913,20110,238,19872,79,Catanzaro,ASI1914,OK
Chieti,1913,13276,84,13192,69,Chieti,ASI1914,OK
Como,1913,19923,15647,4276,13,Como,ASI1914,OK
Cosenza,1913,18565,172,18393,78,Cosenza,ASI1914,OK
Cremona,1913,3491,2972,519,19,Cremona,ASI1914,OK
Cuneo,1913,12883,6446,6437,4,Cuneo,ASI1914,OK
Ferrara,1913,1795,1227,568,38,Ferrara,ASI1914,OK
Firenze,1913,14708,12343,2365,48,Firenze,ASI1914,OK
Foggia,1913,10886,319,10567,71,Foggia,ASI1914,OK
Forlì,1913,8895,6743,2152,40,Forlì,ASI1914,OK
Genova,1913,8152,1861,6291,10,Genova,ASI1914,OK
Girgenti,1913,19914,84,19830,84,Girgenti,ASI1914,OK
Grosseto,1913,1785,526,1259,53,Grosseto,ASI1914,OK
Lecce,1913,4754,1315,3439,75,Lecce,ASI1914,OK
Livorno,1913,1424,1155,269,49,Livorno,ASI1914,OK
Lucca,1913,10002,1153,8849,46,Lucca,ASI1914,OK
Macerata,1913,7241,1278,5963,43,Macerata,ASI1914,OK
Mantova,1913,5078,3446,1632,20,Mantova,ASI1914,OK_corrected
Massa e Carrara,1913,4969,2502,2467,45,Massa e Carrara,ASI1914,OK
Messina,1913,20744,492,20252,83,Messina,ASI1914,OK
Milano,1913,16022,11140,4882,15,Milano,ASI1914,OK
Modena,1913,4414,2733,1681,36,Modena,ASI1914,OK
Napoli,1913,8999,1306,7693,63,Napoli,ASI1914,OK_corrected
Novara,1913,24607,18839,5768,3,Novara,ASI1914,OK
Padova,1913,10535,8877,1658,28,Padova,ASI1914,OK
Palermo,1913,23522,1158,22364,82,Palermo,ASI1914,OK
Parma,1913,6747,4660,2087,34,Parma,ASI1914,OK
Pavia,1913,8059,1889,6170,18,Pavia,ASI1914,OK
Perugia,1913,17851,12469,5382,54,Umbria,ASI1914,OK_corrected
Pesaro e Urbino,1913,9267,5279,3988,41,Pesaro e Urbino,ASI1914,OK
Piacenza,1913,4630,2700,1930,33,Piacenza,ASI1914,OK
Pisa,1913,5096,2955,2141,50,Pisa,ASI1914,OK
Porto Maurizio,1913,1276,953,323,8,Porto Maurizio,ASI1914,OK
Potenza,1913,16153,429,15724,76,Potenza,ASI1914,OK
Ravenna,1913,2336,1993,343,39,Ravenna,ASI1914,OK
Reggio di Calabria,1913,17235,370,16865,80,Reggio di Calabria,ASI1914,OK
Reggio nell'Emilia,1913,4416,3321,1095,35,Reggio nell'Emilia,ASI1914,OK
Roma,1913,25962,1661,24301,58,Roma,ASI1914,OK
Rovigo,1913,3333,2265,1068,29,Rovigo,ASI1914,OK
Salerno,1913,16149,775,15374,65,Salerno,ASI1914,OK
Sassari,1913,6871,2136,4735,90,Sassari,ASI1914,OK
Siena,1913,1248,938,310,52,Siena,ASI1914,OK
Siracusa,1913,20781,694,20087,89,Siracusa,ASI1914,OK
Sondrio,1913,6661,5248,1413,14,Sondrio,ASI1914,OK
Teramo,1913,14167,790,13377,67,Teramo,ASI1914,OK
Torino,1913,27520,16053,11467,1,Torino,ASI1914,OK
Trapani,1913,25556,730,24826,81,Trapani,ASI1914,OK
Treviso,1913,11841,9750,2091,26,Treviso,ASI1914,OK
Udine,1913,44053,33708,10345,30,Udine,ASI1914,OK
Venezia,1913,3678,3149,529,27,Venezia,ASI1914,OK
Verona,1913,12210,9902,2308,23,Verona,ASI1914,OK
Vicenza,1913,19413,14268,5145,24,Vicenza,ASI1914,OK_corrected
Alessandria,1914,6119,2203,3916,6,Alessandria,ASI1914,OK
Ancona,1914,3144,1353,1791,42,Ancona,ASI1914,OK
Aquila degli Abruzzi,1914,8825,2055,6770,66,Aquila degli Abruzzi,ASI1914,OK
Arezzo,1914,4147,3312,835,51,Arezzo,ASI1914,OK
Ascoli Piceno,1914,2856,483,2373,44,Ascoli Piceno,ASI1914,OK
Avellino,1914,7197,55,7142,64,Avellino,ASI1914,OK
Bari delle Puglie,1914,10628,1076,9552,72,Bari delle Puglie,ASI1914,OK
Belluno,1914,16711,15332,1379,25,Belluno,ASI1914,OK
Benevento,1914,4899,21,4878,62,Benevento,ASI1914,OK
Bergamo,1914,13387,11271,2116,16,Bergamo,ASI1914,OK
Bologna,1914,3625,2960,665,37,Bologna,ASI1914,OK
Brescia,1914,9244,7518,1726,17,Brescia,ASI1914,OK
Cagliari,1914,2560,2001,559,92,Cagliari,ASI1914,OK
Caltanissetta,1914,4174,57,4117,85,Caltanissetta,ASI1914,OK
Campobasso,1914,5371,96,5275,70,Campobasso,ASI1914,OK
Caserta,1914,15146,1526,13620,61,Caserta,ASI1914,OK
Catania,1914,5856,451,5405,87,Catania,ASI1914,OK
Catanzaro,1914,8475,67,8408,79,Catanzaro,ASI1914,OK
Chieti,1914,5487,79,5408,69,Chieti,ASI1914,OK
Como,1914,15704,13676,2028,13,Como,ASI1914,OK
Cosenza,1914,8655,128,8527,78,Cosenza,ASI1914,OK
Cremona,1914,1949,1768,181,19,Cremona,ASI1914,OK
Cuneo,1914,7259,5015,2244,4,Cuneo,ASI1914,OK
Ferrara,1914,1063,695,368,38,Ferrara,ASI1914,OK
Firenze,1914,8915,7813,1102,48,Firenze,ASI1914,OK
Foggia,1914,3313,26,3287,71,Foggia,ASI1914,OK
Forlì,1914,4402,3614,788,40,Forlì,ASI1914,OK
Genova,1914,4819,1822,2997,10,Genova,ASI1914,OK
Girgenti,1914,6231,74,6157,84,Girgenti,ASI1914,OK
Grosseto,1914,785,303,482,53,Grosseto,ASI1914,OK
Lecce,1914,3038,1182,1856,75,Lecce,ASI1914,OK
Livorno,1914,882,750,132,49,Livorno,ASI1914,OK
Lucca,1914,5701,2021,3680,46,Lucca,ASI1914,OK
Macerata,1914,3064,620,2444,43,Macerata,ASI1914,OK
Mantova,1914,2821,2206,615,20,Mantova,ASI1914,OK
Massa e Carrara,1914,3603,2298,1305,45,Massa e Carrara,ASI1914,OK
Messina,1914,8535,280,8255,83,Messina,ASI1914,OK
Milano,1914,10199,7584,2615,15,Milano,ASI1914,OK
Modena,1914,3124,1936,1188,36,Modena,ASI1914,OK
Napoli,1914,6004,1021,4983,63,Napoli,ASI1914,OK
Novara,1914,19714,15902,3812,3,Novara,ASI1914,OK
Padova,1914,7613,6304,1309,28,Padova,ASI1914,OK
Palermo,1914,9215,268,8947,82,Palermo,ASI1914,OK
Parma,1914,3889,2873,1016,34,Parma,ASI1914,OK
Pavia,1914,2754,891,1863,18,Pavia,ASI1914,OK
Perugia,1914,8830,6435,2395,54,Umbria,ASI1914,OK
Pesaro e Urbino,1914,4420,2667,1753,41,Pesaro e Urbino,ASI1914,OK
Piacenza,1914,3567,2541,1026,33,Piacenza,ASI1914,OK
Pisa,1914,2718,1761,957,50,Pisa,ASI1914,OK
Porto Maurizio,1914,940,793,147,8,Porto Maurizio,ASI1914,OK
Potenza,1914,6563,150,6413,76,Potenza,ASI1914,OK
Ravenna,1914,1189,1028,161,39,Ravenna,ASI1914,OK
Reggio di Calabria,1914,7066,168,6898,80,Reggio di Calabria,ASI1914,OK
Reggio nell'Emilia,1914,1991,1600,391,35,Reggio nell'Emilia,ASI1914,OK
Roma,1914,9640,1470,8170,58,Roma,ASI1914,OK
Rovigo,1914,1761,1381,380,29,Rovigo,ASI1914,OK
Salerno,1914,7793,457,7336,65,Salerno,ASI1914,OK
Sassari,1914,2791,1350,1441,90,Sassari,ASI1914,OK
Siena,1914,999,789,210,52,Siena,ASI1914,OK
Siracusa,1914,6022,296,5726,89,Siracusa,ASI1914,OK
Sondrio,1914,4148,2672,1476,14,Sondrio,ASI1914,OK
Teramo,1914,4412,328,4084,67,Teramo,ASI1914,OK
Torino,1914,18633,14244,4389,1,Torino,ASI1914,OK
Trapani,1914,6577,499,6078,81,Trapani,ASI1914,OK
Treviso,1914,10506,8048,2458,26,Treviso,ASI1914,OK
Udine,1914,52114,42978,9136,30,Udine,ASI1914,OK
Venezia,1914,3134,2904,230,27,Venezia,ASI1914,OK
Verona,1914,7101,6406,695,23,Verona,ASI1914,OK
Vicenza,1914,15024,11946,3078,24,Vicenza,ASI1914,OK
Alessandria,1915,3085,1832,1253,6,Alessandria,ASI1916,OK_corrected
Ancona,1915,844,339,505,42,Ancona,ASI1916,OK
Aquila degli Abruzzi,1915,2781,190,2591,66,Aquila degli Abruzzi,ASI1916,OK
Arezzo,1915,517,427,90,51,Arezzo,ASI1916,OK
Ascoli Piceno,1915,866,74,792,44,Ascoli Piceno,ASI1916,OK
Avellino,1915,2429,76,2353,64,Avellino,ASI1916,OK
Bari delle Puglie,1915,3814,578,3236,72,Bari delle Puglie,ASI1916,OK
Belluno,1915,3126,2568,558,25,Belluno,ASI1916,OK
Benevento,1915,1477,50,1427,62,Benevento,ASI1916,OK
Bergamo,1915,4535,4149,386,16,Bergamo,ASI1916,OK
Bologna,1915,907,704,203,37,Bologna,ASI1916,OK
Brescia,1915,2005,1705,300,17,Brescia,ASI1916,OK
Cagliari,1915,457,384,73,92,Cagliari,ASI1916,OK
Caltanissetta,1915,1124,55,1069,85,Caltanissetta,ASI1916,OK
Campobasso,1915,2492,209,2283,70,Campobasso,ASI1916,OK
Caserta,1915,5102,1617,3485,61,Caserta,ASI1916,OK
Catania,1915,1790,212,1578,87,Catania,ASI1916,OK
Catanzaro,1915,2180,70,2110,79,Catanzaro,ASI1916,OK
Chieti,1915,2158,61,2097,69,Chieti,ASI1916,OK
Como,1915,7153,6691,462,13,Como,ASI1916,OK
Cosenza,1915,2710,86,2624,78,Cosenza,ASI1916,OK
Cremona,1915,461,411,50,19,Cremona,ASI1916,OK
Cuneo,1915,5129,4514,615,4,Cuneo,ASI1916,OK
Ferrara,1915,363,254,109,38,Ferrara,ASI1916,OK
Firenze,1915,2619,2238,381,48,Firenze,ASI1916,OK
Foggia,1915,1177,31,1146,71,Foggia,ASI1916,OK
Forlì,1915,1255,792,463,40,Forlì,ASI1916,OK
Genova,1915,3518,2330,1188,10,Genova,ASI1916,OK
Girgenti,1915,1549,206,1343,84,Girgenti,ASI1916,OK
Grosseto,1915,113,59,54,53,Grosseto,ASI1916,OK
Lecce,1915,310,130,180,75,Lecce,ASI1916,OK
Livorno,1915,488,416,72,49,Livorno,ASI1916,OK
Lucca,1915,2819,1274,1545,46,Lucca,ASI1916,OK
Macerata,1915,768,107,661,43,Macerata,ASI1916,OK
Mantova,1915,621,430,191,20,Mantova,ASI1916,OK
Massa e Carrara,1915,1707,1245,462,45,Massa e Carrara,ASI1916,OK
Messina,1915,2841,361,2480,83,Messina,ASI1916,OK
Milano,1915,3170,2646,524,15,Milano,ASI1916,OK
Modena,1915,1088,732,356,36,Modena,ASI1916,OK
Napoli,1915,2813,953,1860,63,Napoli,ASI1916,OK
Novara,1915,9866,9080,786,3,Novara,ASI1916,OK
Padova,1915,929,676,253,28,Padova,ASI1916,OK
Palermo,1915,3906,843,3063,82,Palermo,ASI1916,OK
Parma,1915,1626,1211,415,34,Parma,ASI1916,OK
Pavia,1915,887,378,509,18,Pavia,ASI1916,OK
Perugia,1915,1553,1035,518,54,Umbria,ASI1916,OK
Pesaro e Urbino,1915,898,360,538,41,Pesaro e Urbino,ASI1916,OK
Piacenza,1915,1621,1353,268,33,Piacenza,ASI1916,OK
Pisa,1915,914,717,197,50,Pisa,ASI1916,OK
Porto Maurizio,1915,1267,1219,48,8,Porto Maurizio,ASI1916,OK_corrected
Potenza,1915,2503,184,2319,76,Potenza,ASI1916,OK_corrected
Ravenna,1915,289,238,51,39,Ravenna,ASI1916,OK
Reggio di Calabria,1915,1599,102,1497,80,Reggio di Calabria,ASI1916,OK
Reggio nell'Emilia,1915,535,417,118,35,Reggio nell'Emilia,ASI1916,OK_corrected
Roma,1915,3761,2104,1657,58,Roma,ASI1916,OK
Rovigo,1915,160,108,52,29,Rovigo,ASI1916,OK
Salerno,1915,2721,338,2383,65,Salerno,ASI1916,OK
Sassari,1915,480,383,97,90,Sassari,ASI1916,OK
Siena,1915,124,93,31,52,Siena,ASI1916,OK
Siracusa,1915,1791,356,1435,89,Siracusa,ASI1916,OK
Sondrio,1915,3047,2674,373,14,Sondrio,ASI1916,OK
Teramo,1915,1893,55,1838,67,Teramo,ASI1916,OK
Torino,1915,8651,7348,1303,1,Torino,ASI1916,OK
Trapani,1915,3168,1581,1587,81,Trapani,ASI1916,OK
Treviso,1915,1084,626,458,26,Treviso,ASI1916,OK
Udine,1915,2231,1698,533,30,Udine,ASI1916,OK
Venezia,1915,1000,879,121,27,Venezia,ASI1916,OK
Verona,1915,1556,1261,295,23,Verona,ASI1916,OK
Vicenza,1915,1598,979,619,24,Vicenza,ASI1916,OK
Alessandria,1916,3091,2224,867,6,Alessandria,ASI1917_18,OK
Ancona,1916,589,241,348,42,Ancona,ASI1917_18,OK
Aquila degli Abruzzi,1916,3987,311,3676,66,Aquila degli Abruzzi,ASI1917_18,OK
Arezzo,1916,550,493,57,51,Arezzo,ASI1917_18,OK
Ascoli Piceno,1916,978,54,924,44,Ascoli Piceno,ASI1917_18,OK
Avellino,1916,3425,45,3380,64,Avellino,ASI1917_18,OK
Bari delle Puglie,1916,7181,1048,6133,72,Bari delle Puglie,ASI1917_18,OK
Belluno,1916,437,351,86,25,Belluno,ASI1917_18,OK
Benevento,1916,1216,13,1203,62,Benevento,ASI1917_18,OK
Bergamo,1916,3905,3725,180,16,Bergamo,ASI1917_18,OK
Bologna,1916,607,529,78,37,Bologna,ASI1917_18,OK
Brescia,1916,578,493,85,17,Brescia,ASI1917_18,OK
Cagliari,1916,465,446,19,92,Cagliari,ASI1917_18,OK
Caltanissetta,1916,1550,63,1487,85,Caltanissetta,ASI1917_18,OK
Campobasso,1916,5096,193,4903,70,Campobasso,ASI1917_18,OK
Caserta,1916,5256,1480,3776,61,Caserta,ASI1917_18,OK
Catania,1916,2366,385,1981,87,Catania,ASI1917_18,OK
Catanzaro,1916,1847,45,1802,79,Catanzaro,ASI1917_18,OK
Chieti,1916,2301,21,2280,69,Chieti,ASI1917_18,OK
Como,1916,6258,6058,200,13,Como,ASI1917_18,OK
Cosenza,1916,3123,185,2938,78,Cosenza,ASI1917_18,OK
Cremona,1916,269,254,15,19,Cremona,ASI1917_18,OK
Cuneo,1916,7887,7691,196,4,Cuneo,ASI1917_18,OK
Ferrara,1916,161,117,44,38,Ferrara,ASI1917_18,OK
Firenze,1916,2515,2283,232,48,Firenze,ASI1917_18,OK
Foggia,1916,3403,49,3354,71,Foggia,ASI1917_18,OK_corrected
Forlì,1916,542,338,204,40,Forlì,ASI1917_18,OK
Genova,1916,3073,2518,555,10,Genova,ASI1917_18,OK
Girgenti,1916,2590,86,2504,84,Girgenti,ASI1917_18,OK
Grosseto,1916,70,33,37,53,Grosseto,ASI1917_18,OK
Lecce,1916,339,129,210,75,Lecce,ASI1917_18,OK
Livorno,1916,441,406,35,49,Livorno,ASI1917_18,OK
Lucca,1916,2155,1439,716,46,Lucca,ASI1917_18,OK
Macerata,1916,435,102,333,43,Macerata,ASI1917_18,OK
Mantova,1916,419,318,101,20,Mantova,ASI1917_18,OK
Massa e Carrara,1916,1326,1130,196,45,Massa e Carrara,ASI1917_18,OK
Messina,1916,3509,214,3295,83,Messina,ASI1917_18,OK
Milano,1916,1743,1501,242,15,Milano,ASI1917_18,OK
Modena,1916,1017,820,197,36,Modena,ASI1917_18,OK
Napoli,1916,2108,690,1418,63,Napoli,ASI1917_18,OK
Novara,1916,7471,7060,411,3,Novara,ASI1917_18,OK
Padova,1916,247,173,74,28,Padova,ASI1917_18,OK
Palermo,1916,3528,616,2912,82,Palermo,ASI1917_18,OK
Parma,1916,1505,1245,260,34,Parma,ASI1917_18,OK
Pavia,1916,617,338,279,18,Pavia,ASI1917_18,OK
Perugia,1916,1745,1313,432,54,Umbria,ASI1917_18,OK
Pesaro e Urbino,1916,1005,333,672,41,Pesaro e Urbino,ASI1917_18,OK
Piacenza,1916,1157,1061,96,33,Piacenza,ASI1917_18,OK
Pisa,1916,1676,1554,122,50,Pisa,ASI1917_18,OK
Porto Maurizio,1916,2721,2707,14,8,Porto Maurizio,ASI1917_18,OK
Potenza,1916,3238,120,3118,76,Potenza,ASI1917_18,OK
Ravenna,1916,201,188,13,39,Ravenna,ASI1917_18,OK
Reggio di Calabria,1916,2116,125,1991,80,Reggio di Calabria,ASI1917_18,OK
Reggio nell'Emilia,1916,450,397,53,35,Reggio nell'Emilia,ASI1917_18,OK
Roma,1916,3480,1645,1835,58,Roma,ASI1917_18,OK
Rovigo,1916,118,60,58,29,Rovigo,ASI1917_18,OK
Salerno,1916,1620,350,1270,65,Salerno,ASI1917_18,OK
Sassari,1916,663,571,92,90,Sassari,ASI1917_18,OK
Siena,1916,150,123,27,52,Siena,ASI1917_18,OK
Siracusa,1916,3407,301,3106,89,Siracusa,ASI1917_18,OK
Sondrio,1916,716,632,84,14,Sondrio,ASI1917_18,OK
Teramo,1916,2913,22,2891,67,Teramo,ASI1917_18,OK
