year,severity,flag,unit,age,sex,value,detail
1931,WARN,SEX_RATIO,080 Reggio di Calabria,40-44,MF,0.647,"M/F outside (0.7, 1.4) (M=9907, F=15306)"
1936,ERROR,ROW_SUM,005 Asti,50-54,T,14209.0,male+female = 14208 != total 14209
1936,WARN,SEX_RATIO,006 Alessandria,70-74,MF,2.116,"M/F outside (0.4, 1.7) (M=10361, F=4896)"
1936,ERROR,ROW_SUM,019 Cremona,85+,T,597.0,male+female = 601 != total 597
1936,WARN,AGE_PROFILE,022 Trento,10-14,T,49707.0,"ratio to neighbour avg = 1.85 (bounds 0.55-1.65; possible band misallocation, double count or digit error)"
1936,WARN,AGE_PROFILE,022 Trento,15-19,T,15971.0,"ratio to neighbour avg = 0.39 (bounds 0.55-1.65; possible band misallocation, double count or digit error)"
1936,WARN,AGE_PROFILE,022 Trento,10-14,M,25076.0,"ratio to neighbour avg = 1.81 (bounds 0.55-1.65; possible band misallocation, double count or digit error)"
1936,WARN,AGE_PROFILE,022 Trento,15-19,M,8742.0,"ratio to neighbour avg = 0.41 (bounds 0.55-1.65; possible band misallocation, double count or digit error)"
1936,WARN,AGE_PROFILE,022 Trento,10-14,F,24631.0,"ratio to neighbour avg = 1.90 (bounds 0.55-1.65; possible band misallocation, double count or digit error)"
1936,WARN,AGE_PROFILE,022 Trento,15-19,F,7229.0,"ratio to neighbour avg = 0.36 (bounds 0.55-1.65; possible band misallocation, double count or digit error)"
1936,ERROR,ROW_SUM,035 Reggio nell'Emilia,10-14,T,41453.0,male+female = 41458 != total 41453
1936,ERROR,ROW_SUM,038 Ferrara,85+,T,121.0,male+female = 124 != total 121
1936,WARN,AGE_PROFILE,038 Ferrara,70-74,T,11243.0,"ratio to neighbour avg = 1.94 (bounds 0.55-1.65; possible band misallocation, double count or digit error)"
1936,WARN,AGE_PROFILE,038 Ferrara,75-79,T,2039.0,"ratio to neighbour avg = 0.34 (bounds 0.55-1.65; possible band misallocation, double count or digit error)"
1936,WARN,AGE_PROFILE,038 Ferrara,70-74,M,5355.0,"ratio to neighbour avg = 1.95 (bounds 0.55-1.65; possible band misallocation, double count or digit error)"
1936,WARN,AGE_PROFILE,038 Ferrara,75-79,M,866.0,"ratio to neighbour avg = 0.31 (bounds 0.55-1.65; possible band misallocation, double count or digit error)"
1936,WARN,AGE_PROFILE,038 Ferrara,70-74,F,5888.0,"ratio to neighbour avg = 1.94 (bounds 0.55-1.65; possible band misallocation, double count or digit error)"
1936,WARN,AGE_PROFILE,038 Ferrara,75-79,F,1173.0,"ratio to neighbour avg = 0.37 (bounds 0.55-1.65; possible band misallocation, double count or digit error)"
1936,ERROR,ROW_SUM,042 Ancona,55-59,T,14313.0,male+female = 14318 != total 14313
1936,ERROR,ROW_SUM,053 Grosseto,55-59,T,7205.0,male+female = 7204 != total 7205
1936,ERROR,ROW_SUM,055 Terni,30-34,T,13024.0,male+female = 13524 != total 13024
1936,ERROR,ROW_SUM,059 Latina,60-64,T,5874.0,male+female = 5865 != total 5874
1936,WARN,SEX_RATIO,060 Frosinone,40-44,MF,0.656,"M/F outside (0.7, 1.4) (M=8045, F=12264)"
1936,WARN,SEX_RATIO,060 Frosinone,45-49,MF,0.693,"M/F outside (0.7, 1.4) (M=7962, F=11484)"
1936,WARN,SEX_RATIO,062 Benevento,40-44,MF,0.695,"M/F outside (0.7, 1.4) (M=6356, F=9141)"
1936,ERROR,ROW_SUM,062 Benevento,75-79,T,5288.0,male+female = 5283 != total 5288
1936,ERROR,ROW_SUM,062 Benevento,85+,T,1071.0,male+female = 1070 != total 1071
1936,WARN,SEX_RATIO,064 Avellino,40-44,MF,0.683,"M/F outside (0.7, 1.4) (M=7604, F=11137)"
1936,WARN,SEX_RATIO,064 Avellino,45-49,MF,0.697,"M/F outside (0.7, 1.4) (M=7155, F=10259)"
1936,WARN,SEX_RATIO,067 Teramo,40-44,MF,0.689,"M/F outside (0.7, 1.4) (M=4695, F=6818)"
1936,WARN,SEX_RATIO,069 Chieti,40-44,MF,0.61,"M/F outside (0.7, 1.4) (M=6495, F=10651)"
1936,ERROR,ROW_SUM,069 Chieti,45-49,T,16665.0,male+female = 16659 != total 16665
1936,WARN,SEX_RATIO,069 Chieti,45-49,MF,0.663,"M/F outside (0.7, 1.4) (M=6643, F=10016)"
1936,ERROR,ROW_SUM,069 Chieti,85+,T,1364.0,male+female = 1358 != total 1364
1936,WARN,SEX_RATIO,070 Campobasso,40-44,MF,0.661,"M/F outside (0.7, 1.4) (M=7280, F=11010)"
1936,WARN,SEX_RATIO,070 Campobasso,45-49,MF,0.667,"M/F outside (0.7, 1.4) (M=6648, F=9965)"
1936,ERROR,ROW_SUM,071 Foggia,10-14,T,59166.0,male+female = 59175 != total 59166
1936,ERROR,ROW_SUM,071 Foggia,45-49,T,23685.0,male+female = 23676 != total 23685
1936,ERROR,ROW_SUM,076 Potenza,85+,T,1044.0,male+female = 1049 != total 1044
1936,ERROR,ROW_SUM,077 Matera,85+,T,330.0,male+female = 333 != total 330
1936,ERROR,ROW_SUM,078 Cosenza,35-39,T,25459.0,male+female = 31589 != total 25459
1936,WARN,SEX_RATIO,078 Cosenza,40-44,MF,0.615,"M/F outside (0.7, 1.4) (M=10096, F=16426)"
1936,WARN,SEX_RATIO,078 Cosenza,45-49,MF,0.627,"M/F outside (0.7, 1.4) (M=8737, F=13928)"
1936,WARN,SEX_RATIO,078 Cosenza,50-54,MF,0.699,"M/F outside (0.7, 1.4) (M=8316, F=11896)"
1936,ERROR,ROW_SUM,079 Catanzaro,15-19,T,48611.0,male+female = 48608 != total 48611
1936,WARN,SEX_RATIO,079 Catanzaro,40-44,MF,0.626,"M/F outside (0.7, 1.4) (M=6810, F=10881)"
1936,WARN,SEX_RATIO,079 Catanzaro,45-49,MF,0.622,"M/F outside (0.7, 1.4) (M=9052, F=14561)"
1936,WARN,SEX_RATIO,079 Catanzaro,50-54,MF,0.696,"M/F outside (0.7, 1.4) (M=9022, F=12971)"
1936,ERROR,ROW_SUM,080 Reggio di Calabria,40-44,T,26558.0,male+female = 26560 != total 26558
1936,WARN,SEX_RATIO,080 Reggio di Calabria,40-44,MF,0.643,"M/F outside (0.7, 1.4) (M=10396, F=16164)"
1936,WARN,SEX_RATIO,080 Reggio di Calabria,45-49,MF,0.657,"M/F outside (0.7, 1.4) (M=9254, F=14094)"
1936,ERROR,ROW_SUM,086 Enna,55-59,T,7278.0,male+female = 8150 != total 7278
1936,ERROR,ROW_SUM,087 Catania,1-4,T,63096.0,male+female = 54894 != total 63096
